ground_truth_species,total,bioclip_zero_shot_top1_accuracy,bioclip_zero_shot_top5_accuracy,bioclip_zero_shot_top1_correct,gemini_flash_lite_top1_accuracy,gemini_flash_lite_top5_accuracy,gemini_flash_lite_top1_correct,gpt_5_4_top1_accuracy,gpt_5_4_top5_accuracy,gpt_5_4_top1_correct
Rhus glabra,19,0.8947368421052632,0.9473684210526315,17,0.7368421052631579,0.8421052631578947,14,0.631578947368421,0.8947368421052632,12
Salix nigra,19,0.8947368421052632,0.9473684210526315,17,0.7894736842105263,0.7894736842105263,15,0.631578947368421,0.6842105263157895,12
Sambucus racemosa,19,1.0,1.0,19,0.0,0.7368421052631579,0,0.5263157894736842,0.8947368421052632,10
Sorbus americana,19,1.0,1.0,19,0.7368421052631579,0.8947368421052632,14,0.47368421052631576,0.7894736842105263,9
Lindera benzoin,18,0.9444444444444444,1.0,17,0.2777777777777778,0.5,5,0.05555555555555555,0.5,1
Ostrya virginiana,18,0.7222222222222222,0.8888888888888888,13,0.05555555555555555,0.9444444444444444,1,0.8333333333333334,0.8888888888888888,15
Celtis occidentalis,17,0.8823529411764706,0.9411764705882353,15,0.11764705882352941,0.4117647058823529,2,0.058823529411764705,0.17647058823529413,1
Hamamelis virginiana,17,0.8823529411764706,0.8823529411764706,15,0.7058823529411765,0.7647058823529411,12,0.4117647058823529,0.5882352941176471,7
Ilex verticillata,17,1.0,1.0,17,0.23529411764705882,0.4117647058823529,4,0.47058823529411764,0.6470588235294118,8
Zanthoxylum americanum,17,1.0,1.0,17,0.058823529411764705,0.29411764705882354,1,0.35294117647058826,0.4117647058823529,6
Cornus amomum,16,0.1875,1.0,3,0.1875,0.8125,3,0.3125,0.875,5
Juniperus virginiana,16,1.0,1.0,16,0.8125,1.0,13,0.5625,1.0,9
Yucca filamentosa,16,0.9375,1.0,15,0.6875,0.75,11,0.875,0.875,14
Acer nigrum,15,0.0,0.8,0,0.0,0.5333333333333333,0,0.0,0.6666666666666666,0
Acer platanoides,15,1.0,1.0,15,0.0,0.8,0,0.4666666666666667,0.6666666666666666,7
Carya ovata,15,0.6,0.8666666666666667,9,0.0,0.4,0,0.06666666666666667,0.3333333333333333,1
Fraxinus quadrangulata,15,0.6666666666666666,1.0,10,0.0,0.06666666666666667,0,0.0,0.13333333333333333,0
Lonicera morrowii,15,0.9333333333333333,0.9333333333333333,14,0.8666666666666667,0.8666666666666667,13,0.9333333333333333,1.0,14
Tsuga canadensis,15,0.9333333333333333,1.0,14,0.8,0.9333333333333333,12,0.8,0.8666666666666667,12
Ulmus rubra,15,0.6666666666666666,0.9333333333333333,10,0.4666666666666667,0.5333333333333333,7,0.06666666666666667,0.6666666666666666,1
Acer saccharinum,14,0.9285714285714286,1.0,13,0.14285714285714285,0.6428571428571429,2,0.21428571428571427,0.5714285714285714,3
Betula alleghaniensis,14,0.7857142857142857,0.8571428571428571,11,0.0,0.5,0,0.07142857142857142,0.35714285714285715,1
Rhus aromatica,14,0.7142857142857143,0.8571428571428571,10,0.0,0.35714285714285715,0,0.21428571428571427,0.2857142857142857,3
Viburnum lantanoides,14,0.9285714285714286,0.9285714285714286,13,0.0,0.5714285714285714,0,0.35714285714285715,0.5,5
Cornus racemosa,13,0.7692307692307693,0.9230769230769231,10,0.0,0.7692307692307693,0,0.23076923076923078,0.9230769230769231,3
Viburnum opulus,13,0.8461538461538461,0.9230769230769231,11,0.6153846153846154,0.7692307692307693,8,0.15384615384615385,0.6923076923076923,2
Betula lenta,12,0.08333333333333333,0.5833333333333334,1,0.25,0.6666666666666666,3,0.16666666666666666,0.9166666666666666,2
Populus tremuloides,12,1.0,1.0,12,0.9166666666666666,0.9166666666666666,11,1.0,1.0,12
Sambucus nigra,12,0.9166666666666666,1.0,11,0.8333333333333334,0.9166666666666666,10,0.75,0.9166666666666666,9
Aesculus hippocastanum,11,0.9090909090909091,1.0,10,0.7272727272727273,0.7272727272727273,8,0.6363636363636364,0.7272727272727273,7
Castanea dentata,11,0.7272727272727273,0.8181818181818182,8,0.45454545454545453,0.45454545454545453,5,0.45454545454545453,0.45454545454545453,5
Staphylea trifolia,11,0.9090909090909091,1.0,10,0.2727272727272727,0.36363636363636365,3,0.45454545454545453,0.5454545454545454,5
Cornus sericea,10,0.9,0.9,9,0.2,0.5,2,0.4,0.9,4
Pinus rigida,9,1.0,1.0,9,0.0,1.0,0,0.1111111111111111,0.7777777777777778,1
Picea glauca,8,0.75,1.0,6,1.0,1.0,8,0.875,1.0,7
Picea rubens,8,0.5,1.0,4,0.125,1.0,1,0.25,1.0,2
Pinus resinosa,8,0.625,1.0,5,0.0,1.0,0,0.125,0.875,1
Thuja occidentalis,8,0.5,1.0,4,0.75,0.875,6,0.75,1.0,6
Prunus virginiana,7,1.0,1.0,7,0.42857142857142855,0.5714285714285714,3,0.0,0.42857142857142855,0
Betula papyrifera,6,1.0,1.0,6,1.0,1.0,6,1.0,1.0,6
Populus grandidentata,6,1.0,1.0,6,0.0,0.8333333333333334,0,0.16666666666666666,0.6666666666666666,1
Prunus pensylvanica,6,0.8333333333333334,1.0,5,0.0,0.6666666666666666,0,0.16666666666666666,0.5,1
Juniperus communis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1
Picea mariana,1,1.0,1.0,1,0.0,1.0,0,1.0,1.0,1
