annotation_id,image_id,observation_id,observation_image_count,selected_for_buckets,ground_truth_species,vernacular,family,organ_category,organ_detail,subview,image_url,thumbnail_url,local_sample_path,download_status,bioclip_prediction,bioclip_score,bioclip_correct,dinov3_prediction,dinov3_score,dinov3_correct,gpt_5_4_prediction,gpt_5_4_score,gpt_5_4_correct,gemini_flash_lite_prediction,gemini_flash_lite_score,gemini_flash_lite_correct,correctness_pattern,human_identifiable,failure_primary,useful_organ_visible,better_photo_would_help,notes
EA-0010,baskauf/10556,vanderbilt/12-126,5,all_four_correct,Ginkgo biloba,maidenhair tree,Ginkgoaceae,leaf,leaf,showing orientation on twig,https://bioimages.vanderbilt.edu/gq/baskauf/ggibi2-lfpetiole-close10556.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/tgibi2-lfpetiole-close10556.jpg,samples/images/baskauf__10556.jpg,cached,Ginkgo biloba,0.24933225,True,Ginkgo biloba,0.95484931,True,Ginkgo biloba,0.87,True,Ginkgo biloba,0.9,True,1111,,,,,
EA-0007,baskauf/17542,vanderbilt/6-15,3,all_four_correct,Pinus strobus,eastern white pine,Pinaceae,twig,twig,showing attachment of needles,https://bioimages.vanderbilt.edu/gq/baskauf/gpist--tw17542.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/tpist--tw17542.jpg,samples/images/baskauf__17542.jpg,cached,Pinus strobus,0.99999964,True,Pinus strobus,0.92004147,True,Pinus strobus,0.98,True,Pinus strobus,0.8,True,1111,,,,,
EA-0024,baskauf/37293,ind-baskauf/37284,3,all_four_wrong,Betula lenta,sweet birch,Betulaceae,bark,bark,of a small tree or small branch,https://bioimages.vanderbilt.edu/gq/baskauf/gbele--brsmall37293.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/tbele--brsmall37293.jpg,samples/images/baskauf__37293.jpg,cached,Betula alleghaniensis,0.93834269,False,Prunus serotina,0.21063469,False,Prunus serotina,0.63,False,Carpinus caroliniana,0.6,False,0000,,,,,
EA-0018,ssmv/2-638-02,vanderbilt/3-108,4,all_four_wrong,Fraxinus americana,white ash,Oleaceae,whole tree (or vine),whole tree (or vine),general,https://bioimages.vanderbilt.edu/gq/ssmv/g2-638-02.jpg,https://bioimages.vanderbilt.edu/tn/ssmv/t2-638-02.jpg,samples/images/ssmv__2-638-02.jpg,cached,Quercus palustris,0.64122391,False,Quercus alba,0.4874627,False,Gleditsia triacanthos,0.58,False,Quercus alba,0.7,False,0000,,,,,
EA-0017,baskauf/90972,vanderbilt/7-306,4,all_four_wrong,Quercus rubra,northern red oak,Fagaceae,whole tree (or vine),whole tree (or vine),general,https://bioimages.vanderbilt.edu/gq/baskauf/g90972.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/t90972.jpg,samples/images/baskauf__90972.jpg,cached,Amelanchier arborea,0.92292809,False,Fraxinus americana,0.21943117,False,Gleditsia triacanthos,0.46,False,Quercus alba,0.7,False,0000,,,,,
EA-0022,baskauf/10942,ind-baskauf/10938,3,all_four_wrong|bioclip_and_dino_wrong,Rhus copallinum,winged sumac,Anacardiaceae,twig,twig,winter overall,https://bioimages.vanderbilt.edu/gq/baskauf/grhcol2twclose10942.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/trhcol2twclose10942.jpg,samples/images/baskauf__10942.jpg,cached,Rhus glabra,0.73002172,False,Lindera benzoin,0.19684103,False,Betula lenta,0.36,False,Carpinus caroliniana,0.7,False,0000,,,,,
EA-0016,baskauf/11812,ind-baskauf/11812,3,all_four_wrong|bioclip_and_dino_wrong,Juglans cinerea,butternut,Juglandaceae,bark,bark,of a medium tree or large branch,https://bioimages.vanderbilt.edu/gq/baskauf/gjuci--brmed-close11812.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/tjuci--brmed-close11812.jpg,samples/images/baskauf__11812.jpg,cached,Gleditsia triacanthos,0.38796893,False,Gymnocladus dioicus,0.16334151,False,Carya ovata,0.44,False,Juglans nigra,0.6,False,0000,,,,,
EA-0023,baskauf/91110,vanderbilt/12-11,4,all_four_wrong|bioclip_and_dino_wrong,Quercus bicolor,swamp white oak,Fagaceae,whole tree (or vine),whole tree (or vine),general,https://bioimages.vanderbilt.edu/gq/baskauf/g91110.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/t91110.jpg,samples/images/baskauf__91110.jpg,cached,Ostrya virginiana,0.73424089,False,Fraxinus americana,0.24221475,False,Quercus alba,0.43,False,Quercus alba,0.7,False,0000,,,,,
EA-0013,baskauf/51398,vanderbilt/6-239,5,all_four_wrong|bioclip_and_dino_wrong,Nyssa sylvatica,blackgum,Cornaceae,inflorescence,inflorescence,lateral view of flower,https://bioimages.vanderbilt.edu/gq/baskauf/gnysy--flfemside51398.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/tnysy--flfemside51398.jpg,samples/images/baskauf__51398.jpg,cached,Lindera benzoin,0.64254552,False,Cornus amomum,0.2205907,False,Lonicera morrowii,0.93,False,Lonicera morrowii,0.7,False,0000,,,,,
EA-0015,baskauf/89381,vanderbilt/7-298,3,all_four_wrong|bioclip_and_dino_wrong,Acer rubrum,red maple,Aceraceae,whole tree (or vine),whole tree (or vine),winter,https://bioimages.vanderbilt.edu/gq/baskauf/g89381.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/t89381.jpg,samples/images/baskauf__89381.jpg,cached,Gleditsia triacanthos,0.9854123,False,Juglans cinerea,0.21052764,False,Fraxinus americana,0.42,False,Platanus occidentalis,0.6,False,0000,,,,,
EA-0014,baskauf/12528,vanderbilt/7-324,7,all_four_wrong|bioclip_and_dino_wrong,Quercus alba,white oak,Fagaceae,leaf,leaf,unspecified,https://bioimages.vanderbilt.edu/gq/baskauf/gqual--lflower-micro12528.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/tqual--lflower-micro12528.jpg,samples/images/baskauf__12528.jpg,cached,Quercus muehlenbergii,0.83252007,False,Quercus macrocarpa,0.31583215,False,Cornus florida,0.58,False,Carpinus caroliniana,0.7,False,0000,,,,,
EA-0021,baskauf/11690,ind-baskauf/11687,4,all_four_wrong|bioclip_and_dino_wrong|embedding_disagreement,Ulmus americana,American elm,Ulmaceae,bark,bark,of a small tree or small branch,https://bioimages.vanderbilt.edu/gq/baskauf/gulam--brsmall11690.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/tulam--brsmall11690.jpg,samples/images/baskauf__11690.jpg,cached,Robinia pseudoacacia,0.93680865,False,Carya ovata,0.41536965,False,Ostrya virginiana,0.72,False,Carpinus caroliniana,0.7,False,0000,,,,,
EA-0019,baskauf/37296,ind-baskauf/37284,3,all_four_wrong|bioclip_and_dino_wrong|embedding_disagreement,Betula lenta,sweet birch,Betulaceae,twig,twig,winter overall,https://bioimages.vanderbilt.edu/gq/baskauf/gbele--tw37296.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/tbele--tw37296.jpg,samples/images/baskauf__37296.jpg,cached,Amelanchier arborea,0.61507678,False,Rhus aromatica,0.2114889,False,Ostrya virginiana,0.42,False,Carpinus caroliniana,0.7,False,0000,,,,,
EA-0020,baskauf/51186,vanderbilt/12-11,4,all_four_wrong|vlm_embedding_consensus_conflict,Quercus bicolor,swamp white oak,Fagaceae,inflorescence,inflorescence,whole - male,https://bioimages.vanderbilt.edu/gq/baskauf/gqubi--flmale51186.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/tqubi--flmale51186.jpg,samples/images/baskauf__51186.jpg,cached,Quercus palustris,0.89822119,False,Quercus palustris,0.31776012,False,Quercus alba,0.42,False,Quercus alba,0.8,False,0000,,,,,
EA-0042,baskauf/91065,vanderbilt/6-239,5,bioclip_and_dino_wrong,Nyssa sylvatica,blackgum,Cornaceae,whole tree (or vine),whole tree (or vine),general,https://bioimages.vanderbilt.edu/gq/baskauf/g91065.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/t91065.jpg,samples/images/baskauf__91065.jpg,cached,Ilex verticillata,0.51074648,False,Tilia americana,0.21988692,False,Pyrus calleryana,0.68,False,Acer rubrum,0.7,False,0000,,,,,
EA-0041,baskauf/89376,vanderbilt/7-306,4,bioclip_and_dino_wrong,Quercus rubra,northern red oak,Fagaceae,whole tree (or vine),whole tree (or vine),winter,https://bioimages.vanderbilt.edu/gq/baskauf/g89376.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/t89376.jpg,samples/images/baskauf__89376.jpg,cached,Fagus grandifolia,0.76808923,False,Ulmus americana,0.47096377,False,Fraxinus americana,0.39,False,Quercus alba,0.7,False,0000,,,,,
EA-0037,ssmv/2-638-04,vanderbilt/3-108,4,bioclip_and_dino_wrong|bioclip_wrong_vlm_rescue,Fraxinus americana,white ash,Oleaceae,whole tree (or vine),whole tree (or vine),general,https://bioimages.vanderbilt.edu/gq/ssmv/g2-638-04.jpg,https://bioimages.vanderbilt.edu/tn/ssmv/t2-638-04.jpg,samples/images/ssmv__2-638-04.jpg,cached,Quercus palustris,0.68342853,False,Quercus alba,0.45695058,False,Fraxinus americana,0.42,True,Quercus alba,0.7,False,0010,,,,,
EA-0038,baskauf/91059,vanderbilt/6-189,6,bioclip_and_dino_wrong|bioclip_wrong_vlm_rescue,Carpinus caroliniana,American hornbeam,Betulaceae,whole tree (or vine),whole tree (or vine),general,https://bioimages.vanderbilt.edu/gq/baskauf/g91059.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/t91059.jpg,samples/images/baskauf__91059.jpg,cached,Fagus grandifolia,0.52703249,False,Cornus florida,0.17821449,False,Cornus florida,0.35,False,Carpinus caroliniana,0.7,True,0001,,,,,
EA-0032,baskauf/10938,ind-baskauf/10938,3,bioclip_only_correct,Rhus copallinum,winged sumac,Anacardiaceae,leaf,leaf,showing orientation on twig,https://bioimages.vanderbilt.edu/gq/baskauf/grhcol2lfseveral10938.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/trhcol2lfseveral10938.jpg,samples/images/baskauf__10938.jpg,cached,Rhus copallinum,0.97061926,True,Juglans nigra,0.41119166,False,Cornus amomum,0.68,False,Juglans nigra,0.7,False,1000,,,,,
EA-0030,baskauf/11687,ind-baskauf/11687,4,bioclip_only_correct,Ulmus americana,American elm,Ulmaceae,leaf,leaf,showing orientation on twig,https://bioimages.vanderbilt.edu/gq/baskauf/gulam--lfseveral11687.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/tulam--lfseveral11687.jpg,samples/images/baskauf__11687.jpg,cached,Ulmus americana,0.99591583,True,Betula alleghaniensis,0.23327088,False,Ostrya virginiana,0.57,False,Ulmus rubra,0.8,False,1000,,,,,
EA-0031,baskauf/11813,ind-baskauf/11812,3,bioclip_only_correct,Juglans cinerea,butternut,Juglandaceae,bark,bark,of a medium tree or large branch,https://bioimages.vanderbilt.edu/gq/baskauf/gjuci--brmedium11813.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/tjuci--brmedium11813.jpg,samples/images/baskauf__11813.jpg,cached,Juglans cinerea,0.99224782,True,Robinia pseudoacacia,0.52385797,False,Fraxinus americana,0.34,False,Ulmus rubra,0.6,False,1000,,,,,
EA-0027,baskauf/11996,ind-baskauf/11993,4,bioclip_only_correct,Carya cordiformis,bitternut hickory,Juglandaceae,whole tree (or vine),whole tree (or vine),general,https://bioimages.vanderbilt.edu/gq/baskauf/gcaco15wpsmall11996.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/tcaco15wpsmall11996.jpg,samples/images/baskauf__11996.jpg,cached,Carya cordiformis,0.88550961,True,Robinia pseudoacacia,0.1862655,False,Ailanthus altissima,0.82,False,Fraxinus americana,0.7,False,1000,,,,,
EA-0035,baskauf/12055,ind-baskauf/12050,2,bioclip_only_correct,Quercus muehlenbergii,chinkapin oak,Fagaceae,whole tree (or vine),whole tree (or vine),view up trunk,https://bioimages.vanderbilt.edu/gq/baskauf/gqumu--wpmed-in-forest12055.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/tqumu--wpmed-in-forest12055.jpg,samples/images/baskauf__12055.jpg,cached,Quercus muehlenbergii,0.93977171,True,Tilia americana,0.25967358,False,Ostrya virginiana,0.84,False,Quercus alba,0.8,False,1000,,,,,
EA-0033,baskauf/13654,ind-baskauf/13650,2,bioclip_only_correct,Carya ovata,shagbark hickory,Juglandaceae,whole tree (or vine),whole tree (or vine),view up trunk,https://bioimages.vanderbilt.edu/gq/baskauf/gcaov2-wplookup-large13654.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/tcaov2-wplookup-large13654.jpg,samples/images/baskauf__13654.jpg,cached,Carya ovata,0.99987662,True,Quercus alba,0.39361739,False,Acer saccharinum,0.82,False,Aesculus hippocastanum,0.7,False,1000,,,,,
EA-0036,baskauf/26325,ind-baskauf/26298,4,bioclip_only_correct,Viburnum lantanoides,hobblebush,Caprifoliaceae,fruit,fruit,immature,https://bioimages.vanderbilt.edu/gq/baskauf/gvila11frdevel26325.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/tvila11frdevel26325.jpg,samples/images/baskauf__26325.jpg,cached,Viburnum lantanoides,0.99999917,True,Tilia americana,0.42868081,False,Staphylea trifolia,0.89,False,Cornus racemosa,0.7,False,1000,,,,,
EA-0026,baskauf/32257,ind-baskauf/32253,2,bioclip_only_correct,Rhus aromatica,fragrant sumac,Anacardiaceae,inflorescence,inflorescence,whole - unspecified,https://bioimages.vanderbilt.edu/gq/baskauf/grhar4-fl32257.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/trhar4-fl32257.jpg,samples/images/baskauf__32257.jpg,cached,Rhus aromatica,0.81545663,True,Sassafras albidum,0.20575655,False,Acer platanoides,0.74,False,Cephalanthus occidentalis,0.8,False,1000,,,,,
EA-0029,baskauf/50993,vanderbilt/12-33,2,bioclip_only_correct,Celtis occidentalis,common hackberry,Ulmaceae,inflorescence,inflorescence,lateral view of flower,https://bioimages.vanderbilt.edu/gq/baskauf/gceoco2fl50993.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/tceoco2fl50993.jpg,samples/images/baskauf__50993.jpg,cached,Celtis occidentalis,1.0,True,Acer negundo,0.31299563,False,Ulmus rubra,0.79,False,Carpinus caroliniana,0.7,False,1000,,,,,
EA-0028,baskauf/91056,vanderbilt/6-215,5,bioclip_only_correct,Sassafras albidum,sassafras,Lauraceae,whole tree (or vine),whole tree (or vine),general,https://bioimages.vanderbilt.edu/gq/baskauf/g91056.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/t91056.jpg,samples/images/baskauf__91056.jpg,cached,Sassafras albidum,0.54089016,True,Quercus macrocarpa,0.31510001,False,Ailanthus altissima,0.54,False,Quercus alba,0.6,False,1000,,,,,
EA-0025,baskauf/90799,vanderbilt/9-89,3,bioclip_only_correct,Fraxinus pennsylvanica,green ash,Oleaceae,whole tree (or vine),whole tree (or vine),general,https://bioimages.vanderbilt.edu/gq/baskauf/g90799.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/t90799.jpg,samples/images/baskauf__90799.jpg,cached,Fraxinus pennsylvanica,0.945364,True,Quercus rubra,0.34494723,False,Fraxinus americana,0.54,False,Juglans nigra,0.7,False,1000,,,,,
EA-0034,baskauf/51815,ind-baskauf/51813,4,bioclip_only_correct|embedding_disagreement,Zanthoxylum americanum,common pricklyash,Rutaceae,inflorescence,inflorescence,lateral view of flower,https://bioimages.vanderbilt.edu/gq/baskauf/gzaam--flfemale-side51815.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/tzaam--flfemale-side51815.jpg,samples/images/baskauf__51815.jpg,cached,Zanthoxylum americanum,0.99987388,True,Acer negundo,0.1738343,False,Acer saccharum,0.76,False,Rhus glabra,0.7,False,1000,,,,,
EA-0039,baskauf/37287,ind-baskauf/37284,3,bioclip_wrong_vlm_rescue,Betula lenta,sweet birch,Betulaceae,bark,bark,of a medium tree or large branch,https://bioimages.vanderbilt.edu/gq/baskauf/gbele--br37287.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/tbele--br37287.jpg,samples/images/baskauf__37287.jpg,cached,Prunus serotina,0.83887666,False,Betula alleghaniensis,0.23740053,False,Betula lenta,0.44,True,Betula lenta,0.7,True,0011,,,,,
EA-0040,ssmv/2-638-03,vanderbilt/3-108,4,bioclip_wrong_vlm_rescue,Fraxinus americana,white ash,Oleaceae,leaf,leaf,whole upper surface,https://bioimages.vanderbilt.edu/gq/ssmv/g2-638-03.jpg,https://bioimages.vanderbilt.edu/tn/ssmv/t2-638-03.jpg,samples/images/ssmv__2-638-03.jpg,cached,Fraxinus pennsylvanica,0.61914062,False,Fraxinus americana,0.33081418,True,Fraxinus americana,0.72,True,Ailanthus altissima,0.7,False,0110,,,,,
EA-0047,baskauf/11524,ind-baskauf/11522,2,embedding_disagreement,Juniperus virginiana,eastern redcedar,Cupressaceae,bark,bark,of a large tree,https://bioimages.vanderbilt.edu/gq/baskauf/gjuvi--brlarge-tree11524.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/tjuvi--brlarge-tree11524.jpg,samples/images/baskauf__11524.jpg,cached,Juniperus virginiana,1.0,True,Quercus alba,0.38775121,False,Thuja occidentalis,0.68,False,Juniperus virginiana,0.8,True,1001,,,,,
EA-0045,baskauf/15320,ind-baskauf/15307,5,embedding_disagreement,Acer negundo,boxelder,Aceraceae,bark,bark,of a small tree or small branch,https://bioimages.vanderbilt.edu/gq/baskauf/gacne2-brsmall15320.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/tacne2-brsmall15320.jpg,samples/images/baskauf__15320.jpg,cached,Acer negundo,0.99767119,True,Ulmus rubra,0.19056031,False,Prunus serotina,0.34,False,Carpinus caroliniana,0.7,False,1000,,,,,
EA-0050,baskauf/15687,ind-baskauf/15687,2,embedding_disagreement,Sambucus nigra,American black elderberry,Caprifoliaceae,fruit,fruit,as borne on the plant,https://bioimages.vanderbilt.edu/gq/baskauf/gsanic4frin-fruit15687.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/tsanic4frin-fruit15687.jpg,samples/images/baskauf__15687.jpg,cached,Sambucus nigra,0.99293935,True,Rhus copallinum,0.50447003,False,Sambucus nigra,0.96,True,Sambucus nigra,0.9,True,1011,,,,,
EA-0046,baskauf/21457,ind-baskauf/21454,3,embedding_disagreement,Salix nigra,black willow,Salicaceae,inflorescence,inflorescence,whole - male,https://bioimages.vanderbilt.edu/gq/baskauf/gsani--fl21457.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/tsani--fl21457.jpg,samples/images/baskauf__21457.jpg,cached,Salix nigra,0.9999615,True,Quercus palustris,0.27255315,False,Salix nigra,0.92,True,Salix nigra,0.9,True,1011,,,,,
EA-0048,baskauf/23025,ind-baskauf/23021,2,embedding_disagreement,Juglans nigra,black walnut,Juglandaceae,inflorescence,inflorescence,whole - male,https://bioimages.vanderbilt.edu/gq/baskauf/gjuni--flmale23025.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/tjuni--flmale23025.jpg,samples/images/baskauf__23025.jpg,cached,Juglans nigra,0.73053116,True,Rhus glabra,0.45810997,False,Castanea dentata,0.4,False,Juglans nigra,0.8,True,1001,,,,,
EA-0049,baskauf/15615,vanderbilt/6-135,4,embedding_disagreement,Quercus macrocarpa,bur oak,Fagaceae,fruit,fruit,as borne on the plant,https://bioimages.vanderbilt.edu/gq/baskauf/gquma2-fr15615.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/tquma2-fr15615.jpg,samples/images/baskauf__15615.jpg,cached,Quercus macrocarpa,0.99999166,True,Quercus alba,0.65126906,False,Quercus macrocarpa,0.97,True,Quercus alba,0.9,False,1010,,,,,
EA-0044,baskauf/17544,vanderbilt/6-15,3,embedding_disagreement,Pinus strobus,eastern white pine,Pinaceae,bark,bark,of a medium tree or large branch,https://bioimages.vanderbilt.edu/gq/baskauf/gpist--brmedium17544.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/tpist--brmedium17544.jpg,samples/images/baskauf__17544.jpg,cached,Pinus strobus,0.98624086,True,Quercus bicolor,0.18682411,False,Robinia pseudoacacia,0.7,False,Pinus strobus,0.7,True,1001,,,,,
EA-0043,baskauf/50978,vanderbilt/6-215,5,embedding_disagreement,Sassafras albidum,sassafras,Lauraceae,inflorescence,inflorescence,whole - female,https://bioimages.vanderbilt.edu/gq/baskauf/gsaal5-flfemale-inflor50978.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/tsaal5-flfemale-inflor50978.jpg,samples/images/baskauf__50978.jpg,cached,Sassafras albidum,0.99989331,True,Fraxinus pennsylvanica,0.43630862,False,Acer saccharum,0.79,False,Gymnocladus dioicus,0.7,False,1000,,,,,
EA-0051,baskauf/51406,vanderbilt/6-239,5,embedding_disagreement,Nyssa sylvatica,blackgum,Cornaceae,inflorescence,inflorescence,whole - female,https://bioimages.vanderbilt.edu/gq/baskauf/gnysy--flfem-inflor51406.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/tnysy--flfem-inflor51406.jpg,samples/images/baskauf__51406.jpg,cached,Amelanchier arborea,0.58522868,False,Nyssa sylvatica,0.22742427,True,Cornus amomum,0.64,False,Lindera benzoin,0.8,False,0100,,,,,
EA-0056,baskauf/11070,ind-baskauf/11064,3,vlm_embedding_consensus_conflict,Populus deltoides,eastern cottonwood,Salicaceae,leaf,leaf,whole upper surface,https://bioimages.vanderbilt.edu/gq/baskauf/gpode3-lf11070.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/tpode3-lf11070.jpg,samples/images/baskauf__11070.jpg,cached,Populus deltoides,0.99998701,True,Populus deltoides,0.33146024,True,Populus tremuloides,0.92,False,Populus tremuloides,0.7,False,1100,,,,,
EA-0052,baskauf/11688,ind-baskauf/11687,4,vlm_embedding_consensus_conflict,Ulmus americana,American elm,Ulmaceae,leaf,leaf,whole upper surface,https://bioimages.vanderbilt.edu/gq/baskauf/gulam--lf11688.jpg,https://bioimages.vanderbilt.edu/tn/baskauf/tulam--lf11688.jpg,samples/images/baskauf__11688.jpg,cached,Ulmus americana,0.99941862,True,Ulmus americana,0.30093759,True,Ostrya virginiana,0.48,False,Ostrya virginiana,0.7,False,1100,,,,,
