image_id,file,observation_id,organ_category,ground_truth_species,bioclip_prediction,bioclip_score,bioclip_top5,bioclip_correct,bioclip_top5_correct,dinov3_prediction,dinov3_score,dinov3_top5,dinov3_correct,dinov3_top5_correct,gpt_5_4_prediction,gpt_5_4_score,gpt_5_4_top5,gpt_5_4_correct,gpt_5_4_top5_correct,gemini_flash_lite_prediction,gemini_flash_lite_score,gemini_flash_lite_top5,gemini_flash_lite_correct,gemini_flash_lite_top5_correct,vernacular,family,organ_detail,subview,thumbnail_url,image_url,creator,license,observation_image_count,correct_count,correctness_pattern,prediction_unique_count,all_predictions_same,embedding_predictions_agree,vlm_predictions_agree,bucket_memberships
ssmv/2-638-04,ssmv_2-638-04.jpg,vanderbilt/3-108,whole tree (or vine),Fraxinus americana,Quercus palustris,0.68342853,"[{""species"": ""Quercus palustris"", ""confidence"": 0.6834285259246826}, {""species"": ""Fraxinus quadrangulata"", ""confidence"": 0.0924919918179512}, {""species"": ""Quercus macrocarpa"", ""confidence"": 0.07203283160924911}, {""species"": ""Gymnocladus dioicus"", ""confidence"": 0.07203283160924911}, {""species"": ""Quercus muehlenbergii"", ""confidence"": 0.034025900065898895}]",False,False,Quercus alba,0.45695058,"[{""species"": ""Quercus alba"", ""confidence"": 0.45695057910641895}, {""species"": ""Fraxinus americana"", ""confidence"": 0.3588636506579729}, {""species"": ""Fraxinus pennsylvanica"", ""confidence"": 0.05535316439957577}, {""species"": ""Ulmus americana"", ""confidence"": 0.023175650918939174}, {""species"": ""Quercus macrocarpa"", ""confidence"": 0.023111162513750942}]",False,True,Fraxinus americana,0.42,"[{""species"": ""Fraxinus americana"", ""confidence"": 0.42}, {""species"": ""Fraxinus pennsylvanica"", ""confidence"": 0.24}, {""species"": ""Carya laciniosa"", ""confidence"": 0.12}, {""species"": ""Juglans nigra"", ""confidence"": 0.09}, {""species"": ""Gleditsia triacanthos"", ""confidence"": 0.06}]",True,True,Quercus alba,0.7,"[{""species"": ""Quercus alba"", ""confidence"": 0.7}, {""species"": ""Platanus occidentalis"", ""confidence"": 0.6}, {""species"": ""Acer saccharum"", ""confidence"": 0.5}, {""species"": ""Tilia americana"", ""confidence"": 0.4}, {""species"": ""Fagus grandifolia"", ""confidence"": 0.3}]",False,False,white ash,Oleaceae,whole tree (or vine),general,https://bioimages.vanderbilt.edu/tn/ssmv/t2-638-04.jpg,https://bioimages.vanderbilt.edu/gq/ssmv/g2-638-04.jpg,Vamsi Subraveti,http://creativecommons.org/licenses/by/4.0/,4,1,0010,3,False,False,False,bioclip_wrong_vlm_rescue|bioclip_and_dino_wrong|embedding_disagreement
baskauf/91059,baskauf_91059.jpg,vanderbilt/6-189,whole tree (or vine),Carpinus caroliniana,Fagus grandifolia,0.52703249,"[{""species"": ""Fagus grandifolia"", ""confidence"": 0.5270324945449829}, {""species"": ""Carpinus caroliniana"", ""confidence"": 0.41045334935188293}, {""species"": ""Ostrya virginiana"", ""confidence"": 0.029733141884207726}, {""species"": ""Celtis occidentalis"", ""confidence"": 0.020435268059372902}, {""species"": ""Amelanchier arborea"", ""confidence"": 0.010938210412859917}]",False,True,Cornus florida,0.17821449,"[{""species"": ""Cornus florida"", ""confidence"": 0.17821449354044813}, {""species"": ""Juglans nigra"", ""confidence"": 0.15114506444290046}, {""species"": ""Fraxinus americana"", ""confidence"": 0.12212851085733561}, {""species"": ""Ostrya virginiana"", ""confidence"": 0.07619688838960074}, {""species"": ""Quercus muehlenbergii"", ""confidence"": 0.06909601954685615}]",False,False,Cornus florida,0.35,"[{""species"": ""Cornus florida"", ""confidence"": 0.35}, {""species"": ""Amelanchier arborea"", ""confidence"": 0.24}, {""species"": ""Ostrya virginiana"", ""confidence"": 0.15}, {""species"": ""Acer negundo"", ""confidence"": 0.11}, {""species"": ""Prunus virginiana"", ""confidence"": 0.08}]",False,False,Carpinus caroliniana,0.7,"[{""species"": ""Carpinus caroliniana"", ""confidence"": 0.7}, {""species"": ""Ostrya virginiana"", ""confidence"": 0.6}, {""species"": ""Ulmus rubra"", ""confidence"": 0.5}, {""species"": ""Celtis occidentalis"", ""confidence"": 0.4}, {""species"": ""Acer negundo"", ""confidence"": 0.3}]",True,True,American hornbeam,Betulaceae,whole tree (or vine),general,https://bioimages.vanderbilt.edu/tn/baskauf/t91059.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/g91059.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,6,1,0001,3,False,False,False,bioclip_wrong_vlm_rescue|bioclip_and_dino_wrong|embedding_disagreement
baskauf/51398,baskauf_51398.jpg,vanderbilt/6-239,inflorescence,Nyssa sylvatica,Lindera benzoin,0.64254552,"[{""species"": ""Lindera benzoin"", ""confidence"": 0.6425455212593079}, {""species"": ""Cephalanthus occidentalis"", ""confidence"": 0.12652471661567688}, {""species"": ""Cornus florida"", ""confidence"": 0.11165766417980194}, {""species"": ""Viburnum lantanoides"", ""confidence"": 0.05976604297757149}, {""species"": ""Ostrya virginiana"", ""confidence"": 0.028231481090188026}]",False,False,Cornus amomum,0.2205907,"[{""species"": ""Cornus amomum"", ""confidence"": 0.2205906981248297}, {""species"": ""Acer saccharum"", ""confidence"": 0.19075977996958246}, {""species"": ""Nyssa sylvatica"", ""confidence"": 0.11057270427426755}, {""species"": ""Toxicodendron radicans"", ""confidence"": 0.079774194567187}, {""species"": ""Lonicera morrowii"", ""confidence"": 0.05779082853655603}]",False,True,Lonicera morrowii,0.93,"[{""species"": ""Lonicera morrowii"", ""confidence"": 0.93}, {""species"": ""Cornus amomum"", ""confidence"": 0.12}, {""species"": ""Cornus sericea"", ""confidence"": 0.08}, {""species"": ""Cornus racemosa"", ""confidence"": 0.06}, {""species"": ""Dirca palustris"", ""confidence"": 0.04}]",False,False,Lonicera morrowii,0.7,"[{""species"": ""Lonicera morrowii"", ""confidence"": 0.7}, {""species"": ""Cornus sericea"", ""confidence"": 0.3}, {""species"": ""Cornus racemosa"", ""confidence"": 0.2}, {""species"": ""Cornus amomum"", ""confidence"": 0.2}, {""species"": ""Sambucus nigra"", ""confidence"": 0.15}]",False,False,blackgum,Cornaceae,inflorescence,lateral view of flower,https://bioimages.vanderbilt.edu/tn/baskauf/tnysy--flfemside51398.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gnysy--flfemside51398.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,5,0,0000,3,False,False,True,all_four_wrong|bioclip_and_dino_wrong|embedding_disagreement
baskauf/91065,baskauf_91065.jpg,vanderbilt/6-239,whole tree (or vine),Nyssa sylvatica,Ilex verticillata,0.51074648,"[{""species"": ""Ilex verticillata"", ""confidence"": 0.5107464790344238}, {""species"": ""Quercus alba"", ""confidence"": 0.309783399105072}, {""species"": ""Quercus palustris"", ""confidence"": 0.11396294087171555}, {""species"": ""Celtis occidentalis"", ""confidence"": 0.019803788512945175}, {""species"": ""Ostrya virginiana"", ""confidence"": 0.015423206612467766}]",False,False,Tilia americana,0.21988692,"[{""species"": ""Tilia americana"", ""confidence"": 0.2198869161956935}, {""species"": ""Nyssa sylvatica"", ""confidence"": 0.14875119299962605}, {""species"": ""Quercus macrocarpa"", ""confidence"": 0.10912891109757746}, {""species"": ""Quercus alba"", ""confidence"": 0.07891367212879122}, {""species"": ""Fraxinus pennsylvanica"", ""confidence"": 0.07850219344370131}]",False,True,Pyrus calleryana,0.68,"[{""species"": ""Pyrus calleryana"", ""confidence"": 0.68}, {""species"": ""Tilia americana"", ""confidence"": 0.24}, {""species"": ""Acer platanoides"", ""confidence"": 0.16}, {""species"": ""Ulmus americana"", ""confidence"": 0.09}, {""species"": ""Celtis occidentalis"", ""confidence"": 0.07}]",False,False,Acer rubrum,0.7,"[{""species"": ""Acer rubrum"", ""confidence"": 0.7}, {""species"": ""Acer saccharum"", ""confidence"": 0.6}, {""species"": ""Quercus rubra"", ""confidence"": 0.5}, {""species"": ""Tilia americana"", ""confidence"": 0.4}, {""species"": ""Ulmus americana"", ""confidence"": 0.3}]",False,False,blackgum,Cornaceae,whole tree (or vine),general,https://bioimages.vanderbilt.edu/tn/baskauf/t91065.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/g91065.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,5,0,0000,4,False,False,False,all_four_wrong|bioclip_and_dino_wrong|embedding_disagreement
baskauf/89381,baskauf_89381.jpg,vanderbilt/7-298,whole tree (or vine),Acer rubrum,Gleditsia triacanthos,0.9854123,"[{""species"": ""Gleditsia triacanthos"", ""confidence"": 0.9854122996330261}, {""species"": ""Gymnocladus dioicus"", ""confidence"": 0.014056150801479816}, {""species"": ""Quercus palustris"", ""confidence"": 0.00020050023158546537}, {""species"": ""Zanthoxylum americanum"", ""confidence"": 0.0001561497338116169}, {""species"": ""Ailanthus altissima"", ""confidence"": 0.0001073200473911129}]",False,False,Juglans cinerea,0.21052764,"[{""species"": ""Juglans cinerea"", ""confidence"": 0.21052764454079256}, {""species"": ""Acer saccharum"", ""confidence"": 0.1517187779796913}, {""species"": ""Juglans nigra"", ""confidence"": 0.11079213325367031}, {""species"": ""Gleditsia triacanthos"", ""confidence"": 0.0945616205403576}, {""species"": ""Platanus occidentalis"", ""confidence"": 0.07310514120826177}]",False,False,Fraxinus americana,0.42,"[{""species"": ""Fraxinus americana"", ""confidence"": 0.42}, {""species"": ""Fraxinus pennsylvanica"", ""confidence"": 0.24}, {""species"": ""Acer saccharum"", ""confidence"": 0.14}, {""species"": ""Acer rubrum"", ""confidence"": 0.1}, {""species"": ""Ulmus americana"", ""confidence"": 0.07}]",False,True,Platanus occidentalis,0.6,"[{""species"": ""Platanus occidentalis"", ""confidence"": 0.6}, {""species"": ""Acer saccharum"", ""confidence"": 0.4}, {""species"": ""Ulmus americana"", ""confidence"": 0.3}, {""species"": ""Tilia americana"", ""confidence"": 0.2}, {""species"": ""Fagus grandifolia"", ""confidence"": 0.1}]",False,False,red maple,Aceraceae,whole tree (or vine),winter,https://bioimages.vanderbilt.edu/tn/baskauf/t89381.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/g89381.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,3,0,0000,4,False,False,False,all_four_wrong|bioclip_and_dino_wrong|embedding_disagreement
baskauf/91011,baskauf_91011.jpg,vanderbilt/7-298,whole tree (or vine),Acer rubrum,Acer saccharum,0.99014777,"[{""species"": ""Acer saccharum"", ""confidence"": 0.9901477694511414}, {""species"": ""Acer rubrum"", ""confidence"": 0.0045852940529584885}, {""species"": ""Celtis occidentalis"", ""confidence"": 0.0031514232978224754}, {""species"": ""Quercus palustris"", ""confidence"": 0.001686835428699851}, {""species"": ""Fagus grandifolia"", ""confidence"": 0.0002931280469056219}]",False,True,Ginkgo biloba,0.19653423,"[{""species"": ""Ginkgo biloba"", ""confidence"": 0.19653423388077954}, {""species"": ""Juglans nigra"", ""confidence"": 0.17319513048688712}, {""species"": ""Quercus muehlenbergii"", ""confidence"": 0.1257521401703962}, {""species"": ""Carya cordiformis"", ""confidence"": 0.09804508054742536}, {""species"": ""Aesculus glabra"", ""confidence"": 0.08127311839221943}]",False,False,Fraxinus americana,0.36,"[{""species"": ""Fraxinus americana"", ""confidence"": 0.36}, {""species"": ""Fraxinus pennsylvanica"", ""confidence"": 0.28}, {""species"": ""Acer negundo"", ""confidence"": 0.13}, {""species"": ""Carya cordiformis"", ""confidence"": 0.1}, {""species"": ""Ailanthus altissima"", ""confidence"": 0.08}]",False,False,Acer saccharum,0.6,"[{""species"": ""Acer saccharum"", ""confidence"": 0.6}, {""species"": ""Acer platanoides"", ""confidence"": 0.5}, {""species"": ""Acer rubrum"", ""confidence"": 0.4}, {""species"": ""Tilia americana"", ""confidence"": 0.3}, {""species"": ""Fagus grandifolia"", ""confidence"": 0.2}]",False,True,red maple,Aceraceae,whole tree (or vine),general,https://bioimages.vanderbilt.edu/tn/baskauf/t91011.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/g91011.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,3,0,0000,3,False,False,False,all_four_wrong|bioclip_and_dino_wrong|embedding_disagreement
baskauf/91016,baskauf_91016.jpg,vanderbilt/7-298,whole tree (or vine),Acer rubrum,Pyrus calleryana,0.95014876,"[{""species"": ""Pyrus calleryana"", ""confidence"": 0.9501487612724304}, {""species"": ""Amelanchier arborea"", ""confidence"": 0.036841265857219696}, {""species"": ""Quercus palustris"", ""confidence"": 0.009314930997788906}, {""species"": ""Acer rubrum"", ""confidence"": 0.0016186924185603857}, {""species"": ""Zanthoxylum americanum"", ""confidence"": 0.0009817865211516619}]",False,True,Quercus bicolor,0.15531439,"[{""species"": ""Quercus bicolor"", ""confidence"": 0.15531439247168188}, {""species"": ""Juglans nigra"", ""confidence"": 0.1317555030829549}, {""species"": ""Nyssa sylvatica"", ""confidence"": 0.11828015867832305}, {""species"": ""Quercus alba"", ""confidence"": 0.10536593762337894}, {""species"": ""Fraxinus americana"", ""confidence"": 0.0785323069063669}]",False,False,Gleditsia triacanthos,0.48,"[{""species"": ""Gleditsia triacanthos"", ""confidence"": 0.48}, {""species"": ""Fraxinus americana"", ""confidence"": 0.24}, {""species"": ""Juglans nigra"", ""confidence"": 0.13}, {""species"": ""Ailanthus altissima"", ""confidence"": 0.09}, {""species"": ""Gymnocladus dioicus"", ""confidence"": 0.06}]",False,False,Acer saccharum,0.7,"[{""species"": ""Acer saccharum"", ""confidence"": 0.7}, {""species"": ""Acer rubrum"", ""confidence"": 0.6}, {""species"": ""Acer platanoides"", ""confidence"": 0.5}, {""species"": ""Acer saccharinum"", ""confidence"": 0.4}, {""species"": ""Acer negundo"", ""confidence"": 0.3}]",False,True,red maple,Aceraceae,whole tree (or vine),general,https://bioimages.vanderbilt.edu/tn/baskauf/t91016.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/g91016.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,3,0,0000,4,False,False,False,all_four_wrong|bioclip_and_dino_wrong|embedding_disagreement
baskauf/89376,baskauf_89376.jpg,vanderbilt/7-306,whole tree (or vine),Quercus rubra,Fagus grandifolia,0.76808923,"[{""species"": ""Fagus grandifolia"", ""confidence"": 0.768089234828949}, {""species"": ""Quercus rubra"", ""confidence"": 0.08095600455999374}, {""species"": ""Quercus muehlenbergii"", ""confidence"": 0.08095600455999374}, {""species"": ""Amelanchier arborea"", ""confidence"": 0.04333262890577316}, {""species"": ""Carpinus caroliniana"", ""confidence"": 0.012415005825459957}]",False,True,Ulmus americana,0.47096377,"[{""species"": ""Ulmus americana"", ""confidence"": 0.47096376660157346}, {""species"": ""Fraxinus americana"", ""confidence"": 0.1438025254278262}, {""species"": ""Carya cordiformis"", ""confidence"": 0.11066869138208968}, {""species"": ""Quercus rubra"", ""confidence"": 0.0565928336417851}, {""species"": ""Aesculus glabra"", ""confidence"": 0.032634354660661974}]",False,True,Fraxinus americana,0.39,"[{""species"": ""Fraxinus americana"", ""confidence"": 0.39}, {""species"": ""Fraxinus pennsylvanica"", ""confidence"": 0.24}, {""species"": ""Fraxinus quadrangulata"", ""confidence"": 0.13}, {""species"": ""Juglans nigra"", ""confidence"": 0.11}, {""species"": ""Ulmus americana"", ""confidence"": 0.08}]",False,False,Quercus alba,0.7,"[{""species"": ""Quercus alba"", ""confidence"": 0.7}, {""species"": ""Quercus rubra"", ""confidence"": 0.6}, {""species"": ""Quercus velutina"", ""confidence"": 0.5}, {""species"": ""Quercus bicolor"", ""confidence"": 0.4}, {""species"": ""Quercus macrocarpa"", ""confidence"": 0.3}]",False,True,northern red oak,Fagaceae,whole tree (or vine),winter,https://bioimages.vanderbilt.edu/tn/baskauf/t89376.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/g89376.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,4,0,0000,4,False,False,False,all_four_wrong|bioclip_and_dino_wrong|embedding_disagreement
baskauf/90972,baskauf_90972.jpg,vanderbilt/7-306,whole tree (or vine),Quercus rubra,Amelanchier arborea,0.92292809,"[{""species"": ""Amelanchier arborea"", ""confidence"": 0.9229280948638916}, {""species"": ""Acer rubrum"", ""confidence"": 0.03578580543398857}, {""species"": ""Quercus muehlenbergii"", ""confidence"": 0.013164862059056759}, {""species"": ""Quercus rubra"", ""confidence"": 0.00704664271324873}, {""species"": ""Platanus occidentalis"", ""confidence"": 0.006218640599399805}]",False,True,Fraxinus americana,0.21943117,"[{""species"": ""Fraxinus americana"", ""confidence"": 0.21943116669885993}, {""species"": ""Quercus alba"", ""confidence"": 0.19788576123402946}, {""species"": ""Ulmus americana"", ""confidence"": 0.10850088150772448}, {""species"": ""Fagus grandifolia"", ""confidence"": 0.08371707064595714}, {""species"": ""Quercus rubra"", ""confidence"": 0.07798862912682145}]",False,True,Gleditsia triacanthos,0.46,"[{""species"": ""Gleditsia triacanthos"", ""confidence"": 0.46}, {""species"": ""Fraxinus americana"", ""confidence"": 0.24}, {""species"": ""Fraxinus pennsylvanica"", ""confidence"": 0.12}, {""species"": ""Juglans nigra"", ""confidence"": 0.09}, {""species"": ""Ailanthus altissima"", ""confidence"": 0.07}]",False,False,Quercus alba,0.7,"[{""species"": ""Quercus alba"", ""confidence"": 0.7}, {""species"": ""Quercus rubra"", ""confidence"": 0.6}, {""species"": ""Quercus bicolor"", ""confidence"": 0.5}, {""species"": ""Quercus macrocarpa"", ""confidence"": 0.4}, {""species"": ""Quercus muehlenbergii"", ""confidence"": 0.3}]",False,True,northern red oak,Fagaceae,whole tree (or vine),general,https://bioimages.vanderbilt.edu/tn/baskauf/t90972.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/g90972.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,4,0,0000,4,False,False,False,all_four_wrong|bioclip_and_dino_wrong|embedding_disagreement
baskauf/12528,baskauf_12528.jpg,vanderbilt/7-324,leaf,Quercus alba,Quercus muehlenbergii,0.83252007,"[{""species"": ""Quercus muehlenbergii"", ""confidence"": 0.832520067691803}, {""species"": ""Quercus bicolor"", ""confidence"": 0.11266934126615524}, {""species"": ""Quercus macrocarpa"", ""confidence"": 0.019578997045755386}, {""species"": ""Quercus alba"", ""confidence"": 0.019578997045755386}, {""species"": ""Quercus palustris"", ""confidence"": 0.015248137526214123}]",False,True,Quercus macrocarpa,0.31583215,"[{""species"": ""Quercus macrocarpa"", ""confidence"": 0.3158321475633629}, {""species"": ""Quercus rubra"", ""confidence"": 0.2870881331214588}, {""species"": ""Quercus palustris"", ""confidence"": 0.13750056882294748}, {""species"": ""Quercus bicolor"", ""confidence"": 0.08781813402010857}, {""species"": ""Quercus muehlenbergii"", ""confidence"": 0.06580151234530209}]",False,False,Cornus florida,0.58,"[{""species"": ""Cornus florida"", ""confidence"": 0.58}, {""species"": ""Cornus amomum"", ""confidence"": 0.2}, {""species"": ""Cornus racemosa"", ""confidence"": 0.11}, {""species"": ""Cornus sericea"", ""confidence"": 0.07}, {""species"": ""Nyssa sylvatica"", ""confidence"": 0.05}]",False,False,Carpinus caroliniana,0.7,"[{""species"": ""Carpinus caroliniana"", ""confidence"": 0.7}, {""species"": ""Ostrya virginiana"", ""confidence"": 0.6}, {""species"": ""Betula alleghaniensis"", ""confidence"": 0.5}, {""species"": ""Betula lenta"", ""confidence"": 0.4}, {""species"": ""Fagus grandifolia"", ""confidence"": 0.3}]",False,False,white oak,Fagaceae,leaf,unspecified,https://bioimages.vanderbilt.edu/tn/baskauf/tqual--lflower-micro12528.jpg,https://bioimages.vanderbilt.edu/gq/baskauf/gqual--lflower-micro12528.jpg,Steven J. Baskauf,http://creativecommons.org/licenses/by/4.0/,7,0,0000,4,False,False,False,all_four_wrong|bioclip_and_dino_wrong|embedding_disagreement
