image_id,file,split,individual_id,ground_truth_species,original_organ_category,original_organ_detail,original_subview,normalized_organ
baskauf/18225,baskauf_18225.jpg,train,ind-baskauf/18216,Acer rubrum,fruit,fruit,immature,fruit
baskauf/39069,baskauf_39069.jpg,train,ind-baskauf/39067,Acer rubrum,inflorescence,inflorescence,whole - female,inflorescence
baskauf/00001,baskauf_00001.jpg,train,ind-baskauf/00000,Acer rubrum,inflorescence,inflorescence,whole - male,inflorescence
baskauf/00000,baskauf_00000.jpg,train,ind-baskauf/00000,Acer rubrum,inflorescence,inflorescence,whole - unspecified,inflorescence
baskauf/10492,baskauf_10492.jpg,train,ind-baskauf/10492,Acer rubrum,fruit,fruit,as borne on the plant,fruit
baskauf/10495,baskauf_10495.jpg,validation,ind-baskauf/10494,Acer rubrum,fruit,fruit,as borne on the plant,fruit
baskauf/10496,baskauf_10496.jpg,validation,ind-baskauf/10494,Acer rubrum,fruit,fruit,as borne on the plant,fruit
baskauf/10494,baskauf_10494.jpg,validation,ind-baskauf/10494,Acer rubrum,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/19269,baskauf_19269.jpg,train,ind-baskauf/19266,Acer rubrum,fruit,fruit,as borne on the plant,fruit
baskauf/20031,baskauf_20031.jpg,train,ind-baskauf/20028,Acer rubrum,fruit,fruit,immature,fruit
baskauf/30327,baskauf_30327.jpg,train,ind-baskauf/30326,Acer rubrum,leaf,leaf,margin of upper + lower surface,leaf
baskauf/50749,baskauf_50749.jpg,train,ind-baskauf/50747,Acer rubrum,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/50750,baskauf_50750.jpg,train,ind-baskauf/50747,Acer rubrum,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/91011,baskauf_91011.jpg,test,vanderbilt/7-298,Acer rubrum,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/91016,baskauf_91016.jpg,test,vanderbilt/7-298,Acer rubrum,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/89381,baskauf_89381.jpg,test,vanderbilt/7-298,Acer rubrum,whole tree (or vine),whole tree (or vine),winter,whole plant
baskauf/10861,baskauf_10861.jpg,train,ind-baskauf/10861,Acer saccharum,bark,bark,of a large tree,bark
ssmv/2-886-02,ssmv_2-886-02.jpg,train,vanderbilt/3-31,Acer saccharum,bark,bark,of a large tree,bark
ssmv/2-886-01,ssmv_2-886-01.jpg,train,vanderbilt/3-31,Acer saccharum,whole tree (or vine),whole tree (or vine),general,whole plant
ssmv/2-886-03,ssmv_2-886-03.jpg,train,vanderbilt/3-31,Acer saccharum,whole tree (or vine),whole tree (or vine),view up trunk,whole plant
baskauf/50727,baskauf_50727.jpg,train,ind-baskauf/50721,Acer saccharum,inflorescence,inflorescence,lateral view of flower,inflorescence
baskauf/50729,baskauf_50729.jpg,train,ind-baskauf/50721,Acer saccharum,inflorescence,inflorescence,lateral view of flower,inflorescence
baskauf/10376,baskauf_10376.jpg,train,ind-baskauf/10376,Acer saccharum,inflorescence,inflorescence,whole - male,inflorescence
baskauf/10386,baskauf_10386.jpg,train,ind-baskauf/10386,Acer saccharum,inflorescence,inflorescence,whole - male,inflorescence
baskauf/50713,baskauf_50713.jpg,train,vanderbilt/13-38,Acer saccharum,inflorescence,inflorescence,whole - unspecified,inflorescence
baskauf/50711,baskauf_50711.jpg,train,vanderbilt/13-38,Acer saccharum,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/10606,baskauf_10606.jpg,validation,vanderbilt/6-133,Acer saccharum,fruit,fruit,as borne on the plant,fruit
baskauf/10564,baskauf_10564.jpg,validation,vanderbilt/6-133,Acer saccharum,fruit,fruit,immature,fruit
baskauf/10565,baskauf_10565.jpg,validation,vanderbilt/6-133,Acer saccharum,fruit,fruit,immature,fruit
baskauf/10570,baskauf_10570.jpg,validation,vanderbilt/6-133,Acer saccharum,fruit,fruit,immature,fruit
baskauf/22184,baskauf_22184.jpg,train,ind-baskauf/22179,Acer saccharum,fruit,fruit,lateral or general close-up,fruit
baskauf/15211,baskauf_15211.jpg,train,ind-baskauf/15211,Acer saccharum,leaf,leaf,margin of upper + lower surface,leaf
baskauf/15212,baskauf_15212.jpg,train,ind-baskauf/15211,Acer saccharum,leaf,leaf,margin of upper + lower surface,leaf
baskauf/15216,baskauf_15216.jpg,train,ind-baskauf/15211,Acer saccharum,twig,twig,orientation of petioles,twig
baskauf/11288,baskauf_11288.jpg,train,ind-baskauf/11288,Acer saccharum,leaf,leaf,showing orientation on twig,leaf
baskauf/11294,baskauf_11294.jpg,train,ind-baskauf/11288,Acer saccharum,leaf,leaf,whole upper surface,leaf
baskauf/16741,baskauf_16741.jpg,train,ind-baskauf/16741,Acer saccharum,leaf,leaf,showing orientation on twig,leaf
baskauf/39161,baskauf_39161.jpg,test,ind-baskauf/39138,Acer saccharum,twig,twig,close-up winter leaf scar/bud,twig
baskauf/39140,baskauf_39140.jpg,test,ind-baskauf/39138,Acer saccharum,twig,twig,close-up winter terminal bud,twig
baskauf/39144,baskauf_39144.jpg,test,ind-baskauf/39138,Acer saccharum,twig,twig,close-up winter terminal bud,twig
baskauf/39181,baskauf_39181.jpg,test,ind-baskauf/39138,Acer saccharum,twig,twig,close-up winter terminal bud,twig
baskauf/10374,baskauf_10374.jpg,train,ind-baskauf/10374,Acer saccharum,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/18076,baskauf_18076.jpg,train,ind-baskauf/18076,Acer saccharum,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/91096,baskauf_91096.jpg,train,vanderbilt/8-70,Acer saccharum,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/91164,baskauf_91164.jpg,train,vanderbilt/12-196,Acer saccharum,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/d0999,baskauf_d0999.jpg,train,ind-baskauf/d0999,Acer saccharum,whole tree (or vine),whole tree (or vine),general,whole plant
kaufmannm/ke142,kaufmannm_ke142.jpg,train,ind-kaufmannm/ke142,Acer saccharum,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/11657,baskauf_11657.jpg,train,ind-baskauf/11657,Acer saccharum,whole tree (or vine),whole tree (or vine),view up trunk,whole plant
baskauf/27139,baskauf_27139.jpg,test,ind-baskauf/27131,Yucca filamentosa,bark,bark,of a small tree or small branch,bark
baskauf/27132,baskauf_27132.jpg,test,ind-baskauf/27131,Yucca filamentosa,fruit,fruit,lateral or general close-up,fruit
baskauf/27137,baskauf_27137.jpg,test,ind-baskauf/27131,Yucca filamentosa,fruit,fruit,lateral or general close-up,fruit
baskauf/27143,baskauf_27143.jpg,test,ind-baskauf/27131,Yucca filamentosa,twig,twig,orientation of petioles,twig
baskauf/11729,baskauf_11729.jpg,train,ind-baskauf/11726,Yucca filamentosa,inflorescence,inflorescence,frontal view of flower,inflorescence
baskauf/11727,baskauf_11727.jpg,train,ind-baskauf/11726,Yucca filamentosa,inflorescence,inflorescence,lateral view of flower,inflorescence
baskauf/11730,baskauf_11730.jpg,train,ind-baskauf/11726,Yucca filamentosa,inflorescence,inflorescence,whole - unspecified,inflorescence
baskauf/11732,baskauf_11732.jpg,train,ind-baskauf/11726,Yucca filamentosa,leaf,leaf,showing orientation on twig,leaf
baskauf/11731,baskauf_11731.jpg,train,ind-baskauf/11726,Yucca filamentosa,leaf,leaf,whole upper surface,leaf
baskauf/11726,baskauf_11726.jpg,train,ind-baskauf/11726,Yucca filamentosa,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/35180,baskauf_35180.jpg,validation,ind-baskauf/35163,Yucca filamentosa,inflorescence,inflorescence,frontal view of flower,inflorescence
baskauf/35177,baskauf_35177.jpg,validation,ind-baskauf/35163,Yucca filamentosa,inflorescence,inflorescence,lateral view of flower,inflorescence
baskauf/35167,baskauf_35167.jpg,validation,ind-baskauf/35163,Yucca filamentosa,inflorescence,inflorescence,whole - unspecified,inflorescence
baskauf/35184,baskauf_35184.jpg,validation,ind-baskauf/35163,Yucca filamentosa,leaf,leaf,basal or on lower stem,leaf
baskauf/35181,baskauf_35181.jpg,validation,ind-baskauf/35163,Yucca filamentosa,stem,stem,showing leaf bases,other
baskauf/35163,baskauf_35163.jpg,validation,ind-baskauf/35163,Yucca filamentosa,whole plant,whole plant,in flower - general view,whole plant
baskauf/21914,baskauf_21914.jpg,train,ind-baskauf/21893,Rhus aromatica,bark,bark,of a small tree or small branch,bark
baskauf/21894,baskauf_21894.jpg,train,ind-baskauf/21893,Rhus aromatica,fruit,fruit,immature,fruit
baskauf/21906,baskauf_21906.jpg,train,ind-baskauf/21893,Rhus aromatica,twig,twig,winter overall,twig
baskauf/32173,baskauf_32173.jpg,train,ind-baskauf/32172,Rhus aromatica,inflorescence,inflorescence,unspecified,inflorescence
baskauf/32257,baskauf_32257.jpg,test,ind-baskauf/32253,Rhus aromatica,inflorescence,inflorescence,whole - unspecified,inflorescence
baskauf/32255,baskauf_32255.jpg,test,ind-baskauf/32253,Rhus aromatica,whole tree (or vine),whole tree (or vine),winter,whole plant
baskauf/12700,baskauf_12700.jpg,train,ind-baskauf/12698,Rhus aromatica,fruit,fruit,as borne on the plant,fruit
baskauf/12698,baskauf_12698.jpg,train,ind-baskauf/12698,Rhus aromatica,fruit,fruit,lateral or general close-up,fruit
baskauf/12703,baskauf_12703.jpg,train,ind-baskauf/12698,Rhus aromatica,leaf,leaf,whole upper surface,leaf
baskauf/52663,baskauf_52663.jpg,validation,ind-baskauf/52661,Rhus aromatica,fruit,fruit,as borne on the plant,fruit
baskauf/52662,baskauf_52662.jpg,validation,ind-baskauf/52661,Rhus aromatica,leaf,leaf,margin of upper + lower surface,leaf
hessd/e5353,hessd_e5353.jpg,train,ind-hessd/e5353,Rhus aromatica,fruit,fruit,as borne on the plant,fruit
baskauf/12804,baskauf_12804.jpg,train,ind-baskauf/12804,Rhus aromatica,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/12928,baskauf_12928.jpg,train,ind-baskauf/12928,Rhus aromatica,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/13540,baskauf_13540.jpg,train,ind-baskauf/13534,Rhus copallinum,bark,bark,of a medium tree or large branch,bark
baskauf/13535,baskauf_13535.jpg,train,ind-baskauf/13534,Rhus copallinum,inflorescence,inflorescence,whole - unspecified,inflorescence
baskauf/13537,baskauf_13537.jpg,train,ind-baskauf/13534,Rhus copallinum,inflorescence,inflorescence,whole - unspecified,inflorescence
baskauf/16724,baskauf_16724.jpg,train,ind-baskauf/13534,Rhus copallinum,leaf,leaf,showing orientation on twig,leaf
baskauf/13534,baskauf_13534.jpg,train,ind-baskauf/13534,Rhus copallinum,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/16684,baskauf_16684.jpg,train,ind-baskauf/13534,Rhus copallinum,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/54528,baskauf_54528.jpg,train,ind-baskauf/10419,Rhus copallinum,inflorescence,inflorescence,frontal view of flower,inflorescence
baskauf/54519,baskauf_54519.jpg,train,ind-baskauf/10419,Rhus copallinum,inflorescence,inflorescence,whole - unspecified,inflorescence
baskauf/54525,baskauf_54525.jpg,train,ind-baskauf/10419,Rhus copallinum,inflorescence,inflorescence,whole - unspecified,inflorescence
baskauf/54532,baskauf_54532.jpg,train,ind-baskauf/10419,Rhus copallinum,inflorescence,inflorescence,whole - unspecified,inflorescence
baskauf/10419,baskauf_10419.jpg,train,ind-baskauf/10419,Rhus copallinum,fruit,fruit,lateral or general close-up,fruit
baskauf/54517,baskauf_54517.jpg,train,ind-baskauf/10419,Rhus copallinum,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/10420,baskauf_10420.jpg,train,ind-baskauf/10420,Rhus copallinum,fruit,fruit,as borne on the plant,fruit
baskauf/15445,baskauf_15445.jpg,validation,ind-baskauf/15444,Rhus copallinum,fruit,fruit,as borne on the plant,fruit
baskauf/15448,baskauf_15448.jpg,validation,ind-baskauf/15444,Rhus copallinum,fruit,fruit,lateral or general close-up,fruit
baskauf/15444,baskauf_15444.jpg,validation,ind-baskauf/15444,Rhus copallinum,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/12583,baskauf_12583.jpg,train,ind-baskauf/12580,Rhus copallinum,leaf,leaf,margin of upper + lower surface,leaf
baskauf/12580,baskauf_12580.jpg,train,ind-baskauf/12580,Rhus copallinum,leaf,leaf,showing orientation on twig,leaf
baskauf/12585,baskauf_12585.jpg,train,ind-baskauf/12580,Rhus copallinum,twig,twig,orientation of petioles,twig
baskauf/30099,baskauf_30099.jpg,train,ind-baskauf/30092,Rhus copallinum,leaf,leaf,margin of upper + lower surface,leaf
baskauf/30096,baskauf_30096.jpg,train,ind-baskauf/30092,Rhus copallinum,leaf,leaf,whole upper surface,leaf
baskauf/10938,baskauf_10938.jpg,test,ind-baskauf/10938,Rhus copallinum,leaf,leaf,showing orientation on twig,leaf
baskauf/10939,baskauf_10939.jpg,test,ind-baskauf/10938,Rhus copallinum,leaf,leaf,whole upper surface,leaf
baskauf/10942,baskauf_10942.jpg,test,ind-baskauf/10938,Rhus copallinum,twig,twig,winter overall,twig
baskauf/17339,baskauf_17339.jpg,train,ind-baskauf/10414,Rhus glabra,bark,bark,of a medium tree or large branch,bark
baskauf/12567,baskauf_12567.jpg,train,ind-baskauf/10414,Rhus glabra,inflorescence,inflorescence,frontal view of flower,inflorescence
baskauf/12560,baskauf_12560.jpg,train,ind-baskauf/10414,Rhus glabra,inflorescence,inflorescence,whole - unspecified,inflorescence
baskauf/10414,baskauf_10414.jpg,train,ind-baskauf/10414,Rhus glabra,fruit,fruit,as borne on the plant,fruit
baskauf/10415,baskauf_10415.jpg,train,ind-baskauf/10414,Rhus glabra,fruit,fruit,lateral or general close-up,fruit
baskauf/12578,baskauf_12578.jpg,train,ind-baskauf/10414,Rhus glabra,leaf,leaf,margin of upper + lower surface,leaf
baskauf/29771,baskauf_29771.jpg,train,ind-baskauf/10414,Rhus glabra,leaf,leaf,margin of upper + lower surface,leaf
baskauf/10936,baskauf_10936.jpg,train,ind-baskauf/10414,Rhus glabra,leaf,leaf,showing orientation on twig,leaf
baskauf/10935,baskauf_10935.jpg,train,ind-baskauf/10414,Rhus glabra,leaf,leaf,whole upper surface,leaf
baskauf/29766,baskauf_29766.jpg,train,ind-baskauf/10414,Rhus glabra,leaf,leaf,whole upper surface,leaf
baskauf/10941,baskauf_10941.jpg,train,ind-baskauf/10414,Rhus glabra,twig,twig,close-up winter leaf scar/bud,twig
baskauf/10934,baskauf_10934.jpg,train,ind-baskauf/10414,Rhus glabra,twig,twig,orientation of petioles,twig
baskauf/12572,baskauf_12572.jpg,train,ind-baskauf/10414,Rhus glabra,twig,twig,orientation of petioles,twig
baskauf/10937,baskauf_10937.jpg,train,ind-baskauf/10414,Rhus glabra,twig,twig,winter overall,twig
baskauf/12538,baskauf_12538.jpg,train,ind-baskauf/10414,Rhus glabra,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/13515,baskauf_13515.jpg,validation,ind-baskauf/13515,Rhus glabra,fruit,fruit,as borne on the plant,fruit
baskauf/13516,baskauf_13516.jpg,validation,ind-baskauf/13515,Rhus glabra,fruit,fruit,as borne on the plant,fruit
baskauf/13518,baskauf_13518.jpg,validation,ind-baskauf/13515,Rhus glabra,fruit,fruit,immature,fruit
baskauf/15477,baskauf_15477.jpg,test,ind-baskauf/15477,Rhus glabra,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/10834,baskauf_10834.jpg,validation,ind-baskauf/10832,Toxicodendron radicans,bark,bark,of a large tree,bark
baskauf/10832,baskauf_10832.jpg,validation,ind-baskauf/10832,Toxicodendron radicans,inflorescence,inflorescence,whole - unspecified,inflorescence
baskauf/10833,baskauf_10833.jpg,validation,ind-baskauf/10832,Toxicodendron radicans,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/17295,baskauf_17295.jpg,train,ind-baskauf/17295,Toxicodendron radicans,bark,bark,of a small tree or small branch,bark
baskauf/17306,baskauf_17306.jpg,train,ind-baskauf/17295,Toxicodendron radicans,twig,twig,winter overall,twig
hessd/e5381,hessd_e5381.jpg,train,ind-hessd/e5381,Toxicodendron radicans,inflorescence,inflorescence,frontal view of flower,inflorescence
thomas/0301-02-01,thomas_0301-02-01.jpg,test,thomas/0301-02,Toxicodendron radicans,inflorescence,inflorescence,frontal view of flower,inflorescence
thomas/0301-02-03,thomas_0301-02-03.jpg,test,thomas/0301-02,Toxicodendron radicans,inflorescence,inflorescence,whole - unspecified,inflorescence
thomas/0301-02-02,thomas_0301-02-02.jpg,test,thomas/0301-02,Toxicodendron radicans,leaf,leaf,whole upper surface,leaf
thomas/0506-01-03,thomas_0506-01-03.jpg,train,thomas/0506-01,Toxicodendron radicans,inflorescence,inflorescence,frontal view of flower,inflorescence
thomas/0506-01-02,thomas_0506-01-02.jpg,train,thomas/0506-01,Toxicodendron radicans,inflorescence,inflorescence,lateral view of flower,inflorescence
thomas/0506-01-01,thomas_0506-01-01.jpg,train,thomas/0506-01,Toxicodendron radicans,inflorescence,inflorescence,whole - unspecified,inflorescence
thomas/0506-01-07,thomas_0506-01-07.jpg,train,thomas/0506-01,Toxicodendron radicans,inflorescence,inflorescence,whole - unspecified,inflorescence
thomas/0506-01-08,thomas_0506-01-08.jpg,train,thomas/0506-01,Toxicodendron radicans,leaf,leaf,showing orientation on twig,leaf
thomas/0506-01-05,thomas_0506-01-05.jpg,train,thomas/0506-01,Toxicodendron radicans,leaf,leaf,unspecified,leaf
thomas/0506-01-09,thomas_0506-01-09.jpg,train,thomas/0506-01,Toxicodendron radicans,leaf,leaf,unspecified,leaf
thomas/0506-01-10,thomas_0506-01-10.jpg,train,thomas/0506-01,Toxicodendron radicans,leaf,leaf,unspecified,leaf
thomas/0506-01-04,thomas_0506-01-04.jpg,train,thomas/0506-01,Toxicodendron radicans,leaf,leaf,whole upper surface,leaf
thomas/0506-01-06,thomas_0506-01-06.jpg,train,thomas/0506-01,Toxicodendron radicans,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/34172,baskauf_34172.jpg,train,ind-baskauf/34170,Toxicodendron radicans,inflorescence,inflorescence,whole - unspecified,inflorescence
baskauf/15951,baskauf_15951.jpg,train,ind-baskauf/15948,Toxicodendron radicans,fruit,fruit,as borne on the plant,fruit
baskauf/15948,baskauf_15948.jpg,train,ind-baskauf/15948,Toxicodendron radicans,fruit,fruit,lateral or general close-up,fruit
baskauf/16418,baskauf_16418.jpg,train,ind-baskauf/16418,Toxicodendron radicans,leaf,leaf,showing orientation on twig,leaf
baskauf/20452,baskauf_20452.jpg,train,ind-baskauf/20451,Toxicodendron radicans,leaf,leaf,whole upper surface,leaf
baskauf/20454,baskauf_20454.jpg,train,ind-baskauf/20451,Toxicodendron radicans,leaf,leaf,whole upper surface,leaf
baskauf/10892,baskauf_10892.jpg,train,ind-baskauf/10892,Toxicodendron radicans,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/10893,baskauf_10893.jpg,train,ind-baskauf/10893,Toxicodendron radicans,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/30773,baskauf_30773.jpg,train,ind-baskauf/30762,Ilex verticillata,bark,bark,of a small tree or small branch,bark
baskauf/30769,baskauf_30769.jpg,train,ind-baskauf/30762,Ilex verticillata,fruit,fruit,lateral or general close-up,fruit
baskauf/30771,baskauf_30771.jpg,train,ind-baskauf/30762,Ilex verticillata,twig,twig,winter overall,twig
baskauf/30763,baskauf_30763.jpg,train,ind-baskauf/30762,Ilex verticillata,whole tree (or vine),whole tree (or vine),winter,whole plant
baskauf/35633,baskauf_35633.jpg,test,ind-baskauf/35627,Ilex verticillata,inflorescence,inflorescence,frontal view of flower,inflorescence
baskauf/35627,baskauf_35627.jpg,test,ind-baskauf/35627,Ilex verticillata,inflorescence,inflorescence,whole - male,inflorescence
baskauf/35635,baskauf_35635.jpg,train,ind-baskauf/35634,Ilex verticillata,inflorescence,inflorescence,frontal view of flower,inflorescence
kaufmannm/mk466,kaufmannm_mk466.jpg,validation,ind-kaufmannm/mk466,Ilex verticillata,fruit,fruit,as borne on the plant,fruit
baskauf/58501,baskauf_58501.jpg,train,ind-baskauf/58500,Ilex verticillata,leaf,leaf,margin of upper + lower surface,leaf
baskauf/58506,baskauf_58506.jpg,train,ind-baskauf/58500,Ilex verticillata,leaf,leaf,margin of upper + lower surface,leaf
baskauf/58502,baskauf_58502.jpg,train,ind-baskauf/58500,Ilex verticillata,twig,twig,orientation of petioles,twig
baskauf/58504,baskauf_58504.jpg,train,ind-baskauf/58500,Ilex verticillata,twig,twig,orientation of petioles,twig
baskauf/35368,baskauf_35368.jpg,train,ind-baskauf/35363,Ilex verticillata,leaf,leaf,showing orientation on twig,leaf
baskauf/35369,baskauf_35369.jpg,train,ind-baskauf/35363,Ilex verticillata,leaf,leaf,whole upper surface,leaf
baskauf/35372,baskauf_35372.jpg,train,ind-baskauf/35363,Ilex verticillata,twig,twig,orientation of petioles,twig
baskauf/35364,baskauf_35364.jpg,train,ind-baskauf/35363,Ilex verticillata,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/35376,baskauf_35376.jpg,train,ind-baskauf/35374,Ilex verticillata,twig,twig,orientation of petioles,twig
baskauf/11449,baskauf_11449.jpg,test,ind-baskauf/11449,Betula alleghaniensis,bark,bark,of a large tree,bark
baskauf/11516,baskauf_11516.jpg,train,ind-baskauf/11510,Betula alleghaniensis,bark,bark,of a medium tree or large branch,bark
baskauf/11511,baskauf_11511.jpg,train,ind-baskauf/11510,Betula alleghaniensis,leaf,leaf,showing orientation on twig,leaf
baskauf/11510,baskauf_11510.jpg,train,ind-baskauf/11510,Betula alleghaniensis,leaf,leaf,whole upper surface,leaf
baskauf/11515,baskauf_11515.jpg,train,ind-baskauf/11510,Betula alleghaniensis,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/11719,baskauf_11719.jpg,train,ind-baskauf/11719,Betula alleghaniensis,bark,bark,of a small tree or small branch,bark
baskauf/49244,baskauf_49244.jpg,train,ind-baskauf/49238,Betula alleghaniensis,bark,bark,of a small tree or small branch,bark
baskauf/49248,baskauf_49248.jpg,train,ind-baskauf/49238,Betula alleghaniensis,leaf,leaf,margin of upper + lower surface,leaf
baskauf/49249,baskauf_49249.jpg,train,ind-baskauf/49238,Betula alleghaniensis,leaf,leaf,margin of upper + lower surface,leaf
baskauf/49247,baskauf_49247.jpg,train,ind-baskauf/49238,Betula alleghaniensis,leaf,leaf,whole upper surface,leaf
baskauf/49250,baskauf_49250.jpg,train,ind-baskauf/49238,Betula alleghaniensis,twig,twig,orientation of petioles,twig
baskauf/49252,baskauf_49252.jpg,train,ind-baskauf/49238,Betula alleghaniensis,twig,twig,orientation of petioles,twig
baskauf/26426,baskauf_26426.jpg,validation,ind-baskauf/26417,Betula alleghaniensis,inflorescence,inflorescence,lateral view of flower,inflorescence
baskauf/26421,baskauf_26421.jpg,validation,ind-baskauf/26417,Betula alleghaniensis,inflorescence,inflorescence,whole - male,inflorescence
