representation,k,cluster_id,size_all,size_test,species_count,dominant_species,species_purity,species_distribution,normalized_organ_count,dominant_normalized_organ,normalized_organ_purity,normalized_organ_distribution
bioclip,20,10,81,11,6,Cephalanthus occidentalis,0.25925925925925924,"{""Cephalanthus occidentalis"": 21, ""Nyssa sylvatica"": 16, ""Lindera benzoin"": 15, ""Ilex verticillata"": 14, ""Cornus amomum"": 13, ""Cornus florida"": 2}",6,inflorescence,0.3333333333333333,"{""inflorescence"": 27, ""leaf"": 20, ""twig"": 13, ""fruit"": 11, ""whole plant"": 9, ""bark"": 1}"
bioclip,20,11,121,16,26,Quercus alba,0.12396694214876033,"{""Quercus alba"": 15, ""Fraxinus americana"": 13, ""Quercus palustris"": 12, ""Quercus rubra"": 10, ""Ulmus americana"": 9, ""Quercus macrocarpa"": 9, ""Fraxinus pennsylvanica"": 7, ""Quercus bicolor"": 6, ""Quercus muehlenbergii"": 6, ""Celtis occidentalis"": 5, ""Juglans nigra"": 5, ""Ginkgo biloba"": 4, ""Carya cordiformis"": 3, ""Nyssa sylvatica"": 3, ""Aesculus glabra"": 2, ""Acer rubrum"": 2, ""Fagus grandifolia"": 1, ""Acer saccharum"": 1, ""Gymnocladus dioicus"": 1, ""Sassafras albidum"": 1, ""Gleditsia triacanthos"": 1, ""Pinus strobus"": 1, ""Tsuga canadensis"": 1, ""Platanus occidentalis"": 1, ""Tilia americana"": 1, ""Ostrya virginiana"": 1}",2,whole plant,0.8677685950413223,"{""whole plant"": 105, ""bark"": 16}"
bioclip,20,12,48,5,7,Pyrus calleryana,0.4791666666666667,"{""Pyrus calleryana"": 23, ""Amelanchier arborea"": 18, ""Sorbus americana"": 3, ""Acer rubrum"": 1, ""Betula alleghaniensis"": 1, ""Robinia pseudoacacia"": 1, ""Salix nigra"": 1}",6,inflorescence,0.375,"{""inflorescence"": 18, ""leaf"": 10, ""fruit"": 8, ""twig"": 7, ""whole plant"": 3, ""bark"": 2}"
bioclip,20,13,64,10,3,Gleditsia triacanthos,0.78125,"{""Gleditsia triacanthos"": 50, ""Robinia pseudoacacia"": 9, ""Gymnocladus dioicus"": 5}",6,twig,0.265625,"{""twig"": 17, ""leaf"": 15, ""inflorescence"": 13, ""bark"": 8, ""fruit"": 7, ""whole plant"": 4}"
bioclip,20,14,72,5,9,Juglans nigra,0.3055555555555556,"{""Juglans nigra"": 22, ""Juglans cinerea"": 19, ""Carya cordiformis"": 15, ""Carya ovata"": 10, ""Ailanthus altissima"": 2, ""Rhus aromatica"": 1, ""Gymnocladus dioicus"": 1, ""Castanea dentata"": 1, ""Salix nigra"": 1}",7,leaf,0.2361111111111111,"{""leaf"": 17, ""twig"": 17, ""fruit"": 16, ""inflorescence"": 11, ""seed"": 7, ""bark"": 3, ""whole plant"": 1}"
bioclip,20,15,29,4,3,Populus deltoides,0.5517241379310345,"{""Populus deltoides"": 16, ""Populus tremuloides"": 11, ""Quercus palustris"": 2}",6,whole plant,0.3448275862068966,"{""whole plant"": 10, ""leaf"": 7, ""inflorescence"": 4, ""fruit"": 3, ""twig"": 3, ""bark"": 2}"
bioclip,20,16,44,3,2,Fagus grandifolia,0.8863636363636364,"{""Fagus grandifolia"": 39, ""Castanea dentata"": 5}",6,leaf,0.29545454545454547,"{""leaf"": 13, ""inflorescence"": 11, ""twig"": 8, ""fruit"": 7, ""bark"": 3, ""whole plant"": 2}"
bioclip,20,17,122,14,33,Acer saccharum,0.09836065573770492,"{""Acer saccharum"": 12, ""Juglans cinerea"": 11, ""Ulmus americana"": 8, ""Acer rubrum"": 8, ""Juglans nigra"": 7, ""Robinia pseudoacacia"": 7, ""Fagus grandifolia"": 5, ""Cornus florida"": 5, ""Gymnocladus dioicus"": 5, ""Acer negundo"": 4, ""Fraxinus pennsylvanica"": 4, ""Quercus rubra"": 4, ""Ulmus rubra"": 4, ""Nyssa sylvatica"": 4, ""Castanea dentata"": 3, ""Sassafras albidum"": 3, ""Betula lenta"": 3, ""Celtis occidentalis"": 3, ""Carpinus caroliniana"": 3, ""Fraxinus americana"": 3, ""Carya cordiformis"": 3, ""Ginkgo biloba"": 2, ""Ostrya virginiana"": 1, ""Carya ovata"": 1, ""Gleditsia triacanthos"": 1, ""Tsuga canadensis"": 1, ""Prunus serotina"": 1, ""Populus deltoides"": 1, ""Salix nigra"": 1, ""Ailanthus altissima"": 1, ""Tilia americana"": 1, ""Cercis canadensis"": 1, ""Fraxinus quadrangulata"": 1}",6,whole plant,0.6311475409836066,"{""whole plant"": 77, ""bark"": 28, ""inflorescence"": 6, ""fruit"": 5, ""leaf"": 5, ""twig"": 1}"
bioclip,20,18,54,7,5,Juniperus virginiana,0.2962962962962963,"{""Juniperus virginiana"": 16, ""Pinus strobus"": 16, ""Tsuga canadensis"": 13, ""Picea rubens"": 8, ""Ginkgo biloba"": 1}",5,cone,0.3888888888888889,"{""cone"": 21, ""whole plant"": 13, ""bark"": 9, ""leaf"": 7, ""twig"": 4}"
bioclip,20,19,45,6,4,Prunus serotina,0.4,"{""Prunus serotina"": 18, ""Pyrus calleryana"": 14, ""Salix nigra"": 12, ""Nyssa sylvatica"": 1}",6,leaf,0.28888888888888886,"{""leaf"": 13, ""fruit"": 13, ""bark"": 6, ""twig"": 5, ""inflorescence"": 4, ""whole plant"": 4}"
dinov3,20,0,33,2,5,Pinus strobus,0.3333333333333333,"{""Pinus strobus"": 11, ""Juniperus virginiana"": 8, ""Tsuga canadensis"": 7, ""Picea rubens"": 6, ""Yucca filamentosa"": 1}",3,cone,0.6060606060606061,"{""cone"": 20, ""leaf"": 9, ""twig"": 4}"
dinov3,20,1,79,10,42,Carya cordiformis,0.0759493670886076,"{""Carya cordiformis"": 6, ""Quercus alba"": 4, ""Populus tremuloides"": 4, ""Cephalanthus occidentalis"": 4, ""Quercus palustris"": 3, ""Dirca palustris"": 3, ""Ilex verticillata"": 3, ""Platanus occidentalis"": 3, ""Fraxinus quadrangulata"": 3, ""Nyssa sylvatica"": 3, ""Aesculus glabra"": 3, ""Ginkgo biloba"": 3, ""Populus deltoides"": 2, ""Acer rubrum"": 2, ""Quercus bicolor"": 2, ""Tilia americana"": 2, ""Robinia pseudoacacia"": 2, ""Rhus copallinum"": 2, ""Carpinus caroliniana"": 2, ""Fagus grandifolia"": 1, ""Fraxinus pennsylvanica"": 1, ""Acer saccharum"": 1, ""Salix nigra"": 1, ""Betula alleghaniensis"": 1, ""Zanthoxylum americanum"": 1, ""Sorbus americana"": 1, ""Pyrus calleryana"": 1, ""Lonicera morrowii"": 1, ""Sambucus nigra"": 1, ""Fraxinus americana"": 1, ""Castanea dentata"": 1, ""Sassafras albidum"": 1, ""Juglans nigra"": 1, ""Carya ovata"": 1, ""Viburnum lantanoides"": 1, ""Cercis canadensis"": 1, ""Gleditsia triacanthos"": 1, ""Quercus rubra"": 1, ""Gymnocladus dioicus"": 1, ""Quercus muehlenbergii"": 1, ""Quercus macrocarpa"": 1, ""Acer negundo"": 1}",5,twig,0.8860759493670886,"{""twig"": 70, ""leaf"": 4, ""inflorescence"": 3, ""cone"": 1, ""bark"": 1}"
dinov3,20,2,59,9,31,Quercus palustris,0.0847457627118644,"{""Quercus palustris"": 5, ""Robinia pseudoacacia"": 4, ""Juglans cinerea"": 4, ""Quercus rubra"": 3, ""Celtis occidentalis"": 3, ""Tilia americana"": 3, ""Castanea dentata"": 3, ""Quercus alba"": 3, ""Quercus macrocarpa"": 2, ""Tsuga canadensis"": 2, ""Prunus serotina"": 2, ""Populus deltoides"": 2, ""Acer saccharum"": 2, ""Fraxinus pennsylvanica"": 2, ""Quercus muehlenbergii"": 2, ""Betula lenta"": 2, ""Populus tremuloides"": 1, ""Fraxinus quadrangulata"": 1, ""Salix nigra"": 1, ""Ulmus americana"": 1, ""Acer negundo"": 1, ""Carya cordiformis"": 1, ""Fraxinus americana"": 1, ""Sassafras albidum"": 1, ""Carya ovata"": 1, ""Ginkgo biloba"": 1, ""Quercus bicolor"": 1, ""Gymnocladus dioicus"": 1, ""Gleditsia triacanthos"": 1, ""Toxicodendron radicans"": 1, ""Ulmus rubra"": 1}",3,whole plant,0.7627118644067796,"{""whole plant"": 45, ""bark"": 11, ""leaf"": 3}"
dinov3,20,3,140,25,31,Fraxinus americana,0.09285714285714286,"{""Fraxinus americana"": 13, ""Quercus palustris"": 12, ""Quercus rubra"": 11, ""Ulmus americana"": 11, ""Quercus alba"": 9, ""Platanus occidentalis"": 8, ""Fraxinus pennsylvanica"": 8, ""Juglans nigra"": 8, ""Quercus macrocarpa"": 6, ""Acer saccharum"": 5, ""Quercus muehlenbergii"": 5, ""Ginkgo biloba"": 4, ""Celtis occidentalis"": 4, ""Acer negundo"": 4, ""Fagus grandifolia"": 4, ""Acer rubrum"": 3, ""Nyssa sylvatica"": 3, ""Carya cordiformis"": 3, ""Quercus bicolor"": 2, ""Tilia americana"": 2, ""Ailanthus altissima"": 2, ""Gymnocladus dioicus"": 2, ""Cornus florida"": 2, ""Ostrya virginiana"": 2, ""Sassafras albidum"": 1, ""Gleditsia triacanthos"": 1, ""Tsuga canadensis"": 1, ""Juniperus virginiana"": 1, ""Populus deltoides"": 1, ""Aesculus glabra"": 1, ""Carpinus caroliniana"": 1}",2,whole plant,0.9857142857142858,"{""whole plant"": 138, ""bark"": 2}"
dinov3,20,4,81,10,32,Quercus palustris,0.13580246913580246,"{""Quercus palustris"": 11, ""Quercus alba"": 8, ""Quercus bicolor"": 5, ""Quercus rubra"": 5, ""Sassafras albidum"": 4, ""Fraxinus americana"": 3, ""Gymnocladus dioicus"": 3, ""Robinia pseudoacacia"": 3, ""Salix nigra"": 3, ""Acer saccharum"": 2, ""Ginkgo biloba"": 2, ""Prunus serotina"": 2, ""Pyrus calleryana"": 2, ""Juglans cinerea"": 2, ""Carya ovata"": 2, ""Quercus muehlenbergii"": 2, ""Pinus strobus"": 2, ""Quercus macrocarpa"": 2, ""Gleditsia triacanthos"": 2, ""Juniperus virginiana"": 2, ""Nyssa sylvatica"": 2, ""Celtis occidentalis"": 2, ""Ailanthus altissima"": 1, ""Tsuga canadensis"": 1, ""Aesculus glabra"": 1, ""Fraxinus quadrangulata"": 1, ""Fraxinus pennsylvanica"": 1, ""Juglans nigra"": 1, ""Carpinus caroliniana"": 1, ""Cercis canadensis"": 1, ""Cornus florida"": 1, ""Ulmus americana"": 1}",1,bark,1.0,"{""bark"": 81}"
dinov3,20,5,83,18,28,Sassafras albidum,0.10843373493975904,"{""Sassafras albidum"": 9, ""Gymnocladus dioicus"": 8, ""Acer saccharum"": 7, ""Fraxinus pennsylvanica"": 6, ""Lindera benzoin"": 5, ""Amelanchier arborea"": 5, ""Zanthoxylum americanum"": 4, ""Acer rubrum"": 4, ""Acer negundo"": 3, ""Yucca filamentosa"": 3, ""Pyrus calleryana"": 3, ""Fagus grandifolia"": 3, ""Ginkgo biloba"": 3, ""Ulmus americana"": 2, ""Celtis occidentalis"": 2, ""Aesculus glabra"": 2, ""Gleditsia triacanthos"": 2, ""Carpinus caroliniana"": 2, ""Carya cordiformis"": 1, ""Quercus palustris"": 1, ""Fraxinus americana"": 1, ""Robinia pseudoacacia"": 1, ""Platanus occidentalis"": 1, ""Nyssa sylvatica"": 1, ""Cornus florida"": 1, ""Dirca palustris"": 1, ""Ostrya virginiana"": 1, ""Ulmus rubra"": 1}",5,inflorescence,0.7349397590361446,"{""inflorescence"": 61, ""fruit"": 14, ""twig"": 5, ""cone"": 2, ""whole plant"": 1}"
dinov3,20,6,91,7,18,Fagus grandifolia,0.1978021978021978,"{""Fagus grandifolia"": 18, ""Carpinus caroliniana"": 14, ""Ulmus americana"": 10, ""Ostrya virginiana"": 7, ""Ulmus rubra"": 6, ""Betula alleghaniensis"": 6, ""Tilia americana"": 6, ""Pyrus calleryana"": 5, ""Betula lenta"": 4, ""Viburnum lantanoides"": 3, ""Populus deltoides"": 2, ""Quercus bicolor"": 2, ""Amelanchier arborea"": 2, ""Nyssa sylvatica"": 2, ""Prunus serotina"": 1, ""Toxicodendron radicans"": 1, ""Celtis occidentalis"": 1, ""Acer rubrum"": 1}",4,leaf,0.7802197802197802,"{""leaf"": 71, ""twig"": 10, ""fruit"": 5, ""inflorescence"": 5}"
dinov3,20,7,61,5,37,Pyrus calleryana,0.11475409836065574,"{""Pyrus calleryana"": 7, ""Quercus bicolor"": 6, ""Quercus macrocarpa"": 3, ""Quercus muehlenbergii"": 3, ""Cephalanthus occidentalis"": 2, ""Acer saccharum"": 2, ""Dirca palustris"": 2, ""Toxicodendron radicans"": 2, ""Ilex verticillata"": 2, ""Ailanthus altissima"": 2, ""Juglans nigra"": 2, ""Carya ovata"": 2, ""Quercus rubra"": 2, ""Prunus serotina"": 1, ""Fraxinus quadrangulata"": 1, ""Platanus occidentalis"": 1, ""Acer negundo"": 1, ""Fraxinus americana"": 1, ""Zanthoxylum americanum"": 1, ""Populus deltoides"": 1, ""Populus tremuloides"": 1, ""Tilia americana"": 1, ""Fraxinus pennsylvanica"": 1, ""Carya cordiformis"": 1, ""Sassafras albidum"": 1, ""Lindera benzoin"": 1, ""Acer rubrum"": 1, ""Quercus palustris"": 1, ""Quercus alba"": 1, ""Robinia pseudoacacia"": 1, ""Cercis canadensis"": 1, ""Cornus amomum"": 1, ""Viburnum lantanoides"": 1, ""Sambucus racemosa"": 1, ""Rhus copallinum"": 1, ""Rhus aromatica"": 1, ""Celtis occidentalis"": 1}",1,leaf,1.0,"{""leaf"": 61}"
dinov3,20,8,91,18,21,Cephalanthus occidentalis,0.08791208791208792,"{""Cephalanthus occidentalis"": 8, ""Aesculus glabra"": 7, ""Sorbus americana"": 7, ""Toxicodendron radicans"": 7, ""Sambucus racemosa"": 7, ""Pyrus calleryana"": 7, ""Cornus amomum"": 6, ""Lonicera morrowii"": 6, ""Sambucus nigra"": 6, ""Nyssa sylvatica"": 6, ""Viburnum lantanoides"": 5, ""Ilex verticillata"": 4, ""Amelanchier arborea"": 3, ""Tilia americana"": 3, ""Gymnocladus dioicus"": 2, ""Yucca filamentosa"": 2, ""Prunus serotina"": 1, ""Rhus aromatica"": 1, ""Rhus glabra"": 1, ""Rhus copallinum"": 1, ""Ailanthus altissima"": 1}",4,inflorescence,0.8901098901098901,"{""inflorescence"": 81, ""fruit"": 7, ""twig"": 2, ""leaf"": 1}"
dinov3,20,9,39,1,12,Juglans cinerea,0.38461538461538464,"{""Juglans cinerea"": 15, ""Gymnocladus dioicus"": 4, ""Carya cordiformis"": 3, ""Juglans nigra"": 3, ""Pyrus calleryana"": 3, ""Castanea dentata"": 2, ""Ginkgo biloba"": 2, ""Carya ovata"": 2, ""Platanus occidentalis"": 2, ""Fagus grandifolia"": 1, ""Ailanthus altissima"": 1, ""Ulmus americana"": 1}",4,fruit,0.5897435897435898,"{""fruit"": 23, ""seed"": 11, ""twig"": 3, ""cone"": 2}"
dinov3,20,10,118,15,9,Quercus palustris,0.4830508474576271,"{""Quercus palustris"": 57, ""Quercus rubra"": 23, ""Quercus alba"": 18, ""Quercus bicolor"": 8, ""Quercus macrocarpa"": 3, ""Quercus muehlenbergii"": 3, ""Platanus occidentalis"": 3, ""Acer saccharum"": 2, ""Acer rubrum"": 1}",2,leaf,0.9067796610169492,"{""leaf"": 107, ""twig"": 11}"
dinov3,20,11,69,8,21,Aesculus glabra,0.11594202898550725,"{""Aesculus glabra"": 8, ""Rhus glabra"": 7, ""Rhus copallinum"": 5, ""Fraxinus americana"": 5, ""Sambucus racemosa"": 4, ""Salix nigra"": 4, ""Zanthoxylum americanum"": 4, ""Carya cordiformis"": 4, ""Juglans nigra"": 4, ""Fraxinus pennsylvanica"": 4, ""Ailanthus altissima"": 3, ""Carya ovata"": 3, ""Fraxinus quadrangulata"": 2, ""Prunus serotina"": 2, ""Juglans cinerea"": 2, ""Castanea dentata"": 2, ""Toxicodendron radicans"": 2, ""Sorbus americana"": 1, ""Gymnocladus dioicus"": 1, ""Nyssa sylvatica"": 1, ""Ulmus americana"": 1}",4,leaf,0.9130434782608695,"{""leaf"": 63, ""twig"": 3, ""whole plant"": 2, ""inflorescence"": 1}"
dinov3,20,12,80,9,43,Carpinus caroliniana,0.0875,"{""Carpinus caroliniana"": 7, ""Gleditsia triacanthos"": 5, ""Acer negundo"": 4, ""Dirca palustris"": 4, ""Betula alleghaniensis"": 4, ""Fagus grandifolia"": 4, ""Betula lenta"": 3, ""Juglans nigra"": 3, ""Carya ovata"": 3, ""Robinia pseudoacacia"": 3, ""Ulmus americana"": 2, ""Cephalanthus occidentalis"": 2, ""Prunus serotina"": 2, ""Amelanchier arborea"": 2, ""Pinus strobus"": 2, ""Acer rubrum"": 2, ""Carya cordiformis"": 2, ""Gymnocladus dioicus"": 1, ""Cornus florida"": 1, ""Rhus aromatica"": 1, ""Celtis occidentalis"": 1, ""Rhus copallinum"": 1, ""Salix nigra"": 1, ""Populus tremuloides"": 1, ""Zanthoxylum americanum"": 1, ""Rhus glabra"": 1, ""Sorbus americana"": 1, ""Pyrus calleryana"": 1, ""Toxicodendron radicans"": 1, ""Ilex verticillata"": 1, ""Platanus occidentalis"": 1, ""Tsuga canadensis"": 1, ""Ostrya virginiana"": 1, ""Picea rubens"": 1, ""Fraxinus pennsylvanica"": 1, ""Fraxinus americana"": 1, ""Lindera benzoin"": 1, ""Lonicera morrowii"": 1, ""Sambucus nigra"": 1, ""Viburnum lantanoides"": 1, ""Quercus rubra"": 1, ""Cornus amomum"": 1, ""Ulmus rubra"": 1}",3,bark,0.9,"{""bark"": 72, ""twig"": 7, ""leaf"": 1}"
dinov3,20,13,82,10,22,Cercis canadensis,0.15853658536585366,"{""Cercis canadensis"": 13, ""Robinia pseudoacacia"": 10, ""Ginkgo biloba"": 8, ""Carpinus caroliniana"": 7, ""Cornus florida"": 7, ""Yucca filamentosa"": 5, ""Ulmus americana"": 4, ""Ailanthus altissima"": 4, ""Acer rubrum"": 3, ""Acer negundo"": 2, ""Fraxinus quadrangulata"": 2, ""Fraxinus pennsylvanica"": 2, ""Fraxinus americana"": 2, ""Fagus grandifolia"": 2, ""Ostrya virginiana"": 2, ""Acer saccharum"": 2, ""Ulmus rubra"": 2, ""Quercus alba"": 1, ""Gymnocladus dioicus"": 1, ""Gleditsia triacanthos"": 1, ""Populus deltoides"": 1, ""Populus tremuloides"": 1}",5,fruit,0.5121951219512195,"{""fruit"": 42, ""inflorescence"": 30, ""leaf"": 7, ""cone"": 2, ""twig"": 1}"
dinov3,20,14,74,9,34,Platanus occidentalis,0.06756756756756757,"{""Platanus occidentalis"": 5, ""Juglans cinerea"": 5, ""Acer saccharum"": 4, ""Fagus grandifolia"": 4, ""Ailanthus altissima"": 4, ""Pyrus calleryana"": 3, ""Cornus amomum"": 3, ""Gleditsia triacanthos"": 3, ""Gymnocladus dioicus"": 3, ""Quercus palustris"": 3, ""Pinus strobus"": 3, ""Prunus serotina"": 2, ""Amelanchier arborea"": 2, ""Yucca filamentosa"": 2, ""Fraxinus pennsylvanica"": 2, ""Juglans nigra"": 2, ""Tilia americana"": 2, ""Quercus alba"": 2, ""Nyssa sylvatica"": 2, ""Cornus florida"": 2, ""Betula lenta"": 2, ""Rhus glabra"": 2, ""Castanea dentata"": 1, ""Quercus rubra"": 1, ""Cercis canadensis"": 1, ""Lindera benzoin"": 1, ""Viburnum lantanoides"": 1, ""Sambucus racemosa"": 1, ""Ostrya virginiana"": 1, ""Toxicodendron radicans"": 1, ""Zanthoxylum americanum"": 1, ""Dirca palustris"": 1, ""Rhus aromatica"": 1, ""Celtis occidentalis"": 1}",5,twig,0.8918918918918919,"{""twig"": 66, ""bark"": 3, ""leaf"": 3, ""other"": 1, ""fruit"": 1}"
dinov3,20,15,77,6,11,Gleditsia triacanthos,0.42857142857142855,"{""Gleditsia triacanthos"": 33, ""Robinia pseudoacacia"": 7, ""Ailanthus altissima"": 7, ""Rhus glabra"": 6, ""Gymnocladus dioicus"": 6, ""Sorbus americana"": 6, ""Rhus copallinum"": 5, ""Juglans nigra"": 4, ""Sambucus nigra"": 1, ""Sambucus racemosa"": 1, ""Ulmus rubra"": 1}",6,leaf,0.3246753246753247,"{""leaf"": 25, ""inflorescence"": 18, ""fruit"": 13, ""whole plant"": 10, ""twig"": 10, ""bark"": 1}"
dinov3,20,16,91,15,31,Quercus palustris,0.18681318681318682,"{""Quercus palustris"": 17, ""Cornus florida"": 10, ""Pyrus calleryana"": 9, ""Quercus alba"": 4, ""Nyssa sylvatica"": 4, ""Prunus serotina"": 4, ""Rhus aromatica"": 3, ""Platanus occidentalis"": 3, ""Ginkgo biloba"": 3, ""Zanthoxylum americanum"": 3, ""Amelanchier arborea"": 3, ""Fagus grandifolia"": 2, ""Cornus amomum"": 2, ""Cephalanthus occidentalis"": 2, ""Tilia americana"": 2, ""Lonicera morrowii"": 2, ""Lindera benzoin"": 2, ""Sassafras albidum"": 2, ""Ilex verticillata"": 2, ""Dirca palustris"": 1, ""Sorbus americana"": 1, ""Populus deltoides"": 1, ""Quercus rubra"": 1, ""Juglans nigra"": 1, ""Toxicodendron radicans"": 1, ""Quercus muehlenbergii"": 1, ""Quercus macrocarpa"": 1, ""Quercus bicolor"": 1, ""Sambucus racemosa"": 1, ""Sambucus nigra"": 1, ""Celtis occidentalis"": 1}",6,fruit,0.8461538461538461,"{""fruit"": 77, ""twig"": 6, ""cone"": 3, ""inflorescence"": 3, ""other"": 1, ""seed"": 1}"
