representation,query_image_id,query_species,query_organ,scope,rank,neighbor_image_id,neighbor_species,neighbor_organ,neighbor_split,same_species,same_genus,same_observation,cosine_similarity
bioclip,baskauf/29683,Fagus grandifolia,leaf,all,9,kirchoff/em1998,Fagus grandifolia,twig,train,True,True,False,0.8445780277252197
bioclip,baskauf/29683,Fagus grandifolia,leaf,all,10,baskauf/39143,Fagus grandifolia,twig,train,True,True,False,0.8431845903396606
bioclip,baskauf/29683,Fagus grandifolia,leaf,cross_observation,1,baskauf/52470,Fagus grandifolia,fruit,train,True,True,False,0.8914316892623901
bioclip,baskauf/29683,Fagus grandifolia,leaf,cross_observation,2,baskauf/10757,Fagus grandifolia,leaf,train,True,True,False,0.8869801759719849
bioclip,baskauf/29683,Fagus grandifolia,leaf,cross_observation,3,kirchoff/em2002,Fagus grandifolia,leaf,train,True,True,False,0.8789109587669373
bioclip,baskauf/29683,Fagus grandifolia,leaf,cross_observation,4,baskauf/39273,Fagus grandifolia,inflorescence,validation,True,True,False,0.8731144666671753
bioclip,baskauf/29683,Fagus grandifolia,leaf,cross_observation,5,baskauf/39270,Fagus grandifolia,inflorescence,validation,True,True,False,0.8581193685531616
bioclip,baskauf/29683,Fagus grandifolia,leaf,cross_observation,6,baskauf/52471,Fagus grandifolia,fruit,train,True,True,False,0.8563373684883118
bioclip,baskauf/29683,Fagus grandifolia,leaf,cross_observation,7,kirchoff/ac1519,Fagus grandifolia,twig,train,True,True,False,0.8558565974235535
bioclip,baskauf/29683,Fagus grandifolia,leaf,cross_observation,8,kirchoff/em1998,Fagus grandifolia,twig,train,True,True,False,0.8445780277252197
bioclip,baskauf/29683,Fagus grandifolia,leaf,cross_observation,9,baskauf/39143,Fagus grandifolia,twig,train,True,True,False,0.8431845903396606
bioclip,baskauf/29683,Fagus grandifolia,leaf,cross_observation,10,baskauf/10504,Fagus grandifolia,inflorescence,train,True,True,False,0.8169454336166382
bioclip,baskauf/29685,Fagus grandifolia,twig,all,1,baskauf/52471,Fagus grandifolia,fruit,train,True,True,False,0.9377874135971069
bioclip,baskauf/29685,Fagus grandifolia,twig,all,2,baskauf/39273,Fagus grandifolia,inflorescence,validation,True,True,False,0.9305052161216736
bioclip,baskauf/29685,Fagus grandifolia,twig,all,3,baskauf/52470,Fagus grandifolia,fruit,train,True,True,False,0.9181607961654663
bioclip,baskauf/29685,Fagus grandifolia,twig,all,4,baskauf/10504,Fagus grandifolia,inflorescence,train,True,True,False,0.9117921590805054
bioclip,baskauf/29685,Fagus grandifolia,twig,all,5,baskauf/10431,Fagus grandifolia,twig,train,True,True,False,0.9093873500823975
bioclip,baskauf/29685,Fagus grandifolia,twig,all,6,baskauf/10430,Fagus grandifolia,twig,train,True,True,False,0.8999999165534973
bioclip,baskauf/29685,Fagus grandifolia,twig,all,7,kirchoff/em2061,Fagus grandifolia,fruit,train,True,True,False,0.8992100358009338
bioclip,baskauf/29685,Fagus grandifolia,twig,all,8,baskauf/39143,Fagus grandifolia,twig,train,True,True,False,0.8922210931777954
bioclip,baskauf/29685,Fagus grandifolia,twig,all,9,baskauf/29683,Fagus grandifolia,leaf,test,True,True,True,0.8857899308204651
bioclip,baskauf/29685,Fagus grandifolia,twig,all,10,baskauf/10457,Fagus grandifolia,inflorescence,train,True,True,False,0.8833758234977722
bioclip,baskauf/29685,Fagus grandifolia,twig,cross_observation,1,baskauf/52471,Fagus grandifolia,fruit,train,True,True,False,0.9377874135971069
bioclip,baskauf/29685,Fagus grandifolia,twig,cross_observation,2,baskauf/39273,Fagus grandifolia,inflorescence,validation,True,True,False,0.9305052161216736
bioclip,baskauf/29685,Fagus grandifolia,twig,cross_observation,3,baskauf/52470,Fagus grandifolia,fruit,train,True,True,False,0.9181607961654663
bioclip,baskauf/29685,Fagus grandifolia,twig,cross_observation,4,baskauf/10504,Fagus grandifolia,inflorescence,train,True,True,False,0.9117921590805054
bioclip,baskauf/29685,Fagus grandifolia,twig,cross_observation,5,baskauf/10431,Fagus grandifolia,twig,train,True,True,False,0.9093873500823975
bioclip,baskauf/29685,Fagus grandifolia,twig,cross_observation,6,baskauf/10430,Fagus grandifolia,twig,train,True,True,False,0.8999999165534973
bioclip,baskauf/29685,Fagus grandifolia,twig,cross_observation,7,kirchoff/em2061,Fagus grandifolia,fruit,train,True,True,False,0.8992100358009338
bioclip,baskauf/29685,Fagus grandifolia,twig,cross_observation,8,baskauf/39143,Fagus grandifolia,twig,train,True,True,False,0.8922210931777954
bioclip,baskauf/29685,Fagus grandifolia,twig,cross_observation,9,baskauf/10457,Fagus grandifolia,inflorescence,train,True,True,False,0.8833758234977722
bioclip,baskauf/29685,Fagus grandifolia,twig,cross_observation,10,baskauf/39270,Fagus grandifolia,inflorescence,validation,True,True,False,0.8790744543075562
bioclip,baskauf/29773,Fagus grandifolia,whole tree (or vine),all,1,baskauf/91057,Fagus grandifolia,whole tree (or vine),train,True,True,False,0.6994483470916748
bioclip,baskauf/29773,Fagus grandifolia,whole tree (or vine),all,2,baskauf/16720,Fagus grandifolia,leaf,train,True,True,False,0.6827318072319031
bioclip,baskauf/29773,Fagus grandifolia,whole tree (or vine),all,3,baskauf/91059,Carpinus caroliniana,whole tree (or vine),test,False,False,False,0.6757322549819946
bioclip,baskauf/29773,Fagus grandifolia,whole tree (or vine),all,4,baskauf/91143,Fagus grandifolia,whole tree (or vine),train,True,True,False,0.6744569540023804
bioclip,baskauf/29773,Fagus grandifolia,whole tree (or vine),all,5,baskauf/38151,Betula lenta,whole tree (or vine),train,False,False,False,0.6713696718215942
bioclip,baskauf/29773,Fagus grandifolia,whole tree (or vine),all,6,baskauf/10213,Nyssa sylvatica,whole tree (or vine),train,False,False,False,0.6656918525695801
bioclip,baskauf/29773,Fagus grandifolia,whole tree (or vine),all,7,baskauf/11930,Acer rubrum,whole tree (or vine),train,False,False,False,0.6528136730194092
bioclip,baskauf/29773,Fagus grandifolia,whole tree (or vine),all,8,baskauf/91107,Ulmus americana,whole tree (or vine),train,False,False,False,0.6255465149879456
bioclip,baskauf/29773,Fagus grandifolia,whole tree (or vine),all,9,kirchoff/b5063,Carpinus caroliniana,whole tree (or vine),train,False,False,False,0.611045241355896
bioclip,baskauf/29773,Fagus grandifolia,whole tree (or vine),all,10,baskauf/38156,Betula lenta,whole tree (or vine),train,False,False,False,0.6039505004882812
bioclip,baskauf/29773,Fagus grandifolia,whole tree (or vine),cross_observation,1,baskauf/91057,Fagus grandifolia,whole tree (or vine),train,True,True,False,0.6994483470916748
bioclip,baskauf/29773,Fagus grandifolia,whole tree (or vine),cross_observation,2,baskauf/16720,Fagus grandifolia,leaf,train,True,True,False,0.6827318072319031
bioclip,baskauf/29773,Fagus grandifolia,whole tree (or vine),cross_observation,3,baskauf/91059,Carpinus caroliniana,whole tree (or vine),test,False,False,False,0.6757322549819946
bioclip,baskauf/29773,Fagus grandifolia,whole tree (or vine),cross_observation,4,baskauf/91143,Fagus grandifolia,whole tree (or vine),train,True,True,False,0.6744569540023804
bioclip,baskauf/29773,Fagus grandifolia,whole tree (or vine),cross_observation,5,baskauf/38151,Betula lenta,whole tree (or vine),train,False,False,False,0.6713696718215942
bioclip,baskauf/29773,Fagus grandifolia,whole tree (or vine),cross_observation,6,baskauf/10213,Nyssa sylvatica,whole tree (or vine),train,False,False,False,0.6656918525695801
bioclip,baskauf/29773,Fagus grandifolia,whole tree (or vine),cross_observation,7,baskauf/11930,Acer rubrum,whole tree (or vine),train,False,False,False,0.6528136730194092
bioclip,baskauf/29773,Fagus grandifolia,whole tree (or vine),cross_observation,8,baskauf/91107,Ulmus americana,whole tree (or vine),train,False,False,False,0.6255465149879456
bioclip,baskauf/29773,Fagus grandifolia,whole tree (or vine),cross_observation,9,kirchoff/b5063,Carpinus caroliniana,whole tree (or vine),train,False,False,False,0.611045241355896
bioclip,baskauf/29773,Fagus grandifolia,whole tree (or vine),cross_observation,10,baskauf/38156,Betula lenta,whole tree (or vine),train,False,False,False,0.6039505004882812
bioclip,baskauf/10904,Ailanthus altissima,whole tree (or vine),all,1,baskauf/11106,Ailanthus altissima,whole tree (or vine),train,True,True,False,0.9318939447402954
bioclip,baskauf/10904,Ailanthus altissima,whole tree (or vine),all,2,baskauf/13169,Ailanthus altissima,fruit,train,True,True,False,0.9280526041984558
bioclip,baskauf/10904,Ailanthus altissima,whole tree (or vine),all,3,baskauf/11107,Ailanthus altissima,leaf,train,True,True,False,0.9273112416267395
bioclip,baskauf/10904,Ailanthus altissima,whole tree (or vine),all,4,baskauf/15196,Ailanthus altissima,leaf,train,True,True,False,0.9200470447540283
bioclip,baskauf/10904,Ailanthus altissima,whole tree (or vine),all,5,baskauf/15184,Ailanthus altissima,fruit,train,True,True,False,0.9136456847190857
bioclip,baskauf/10904,Ailanthus altissima,whole tree (or vine),all,6,baskauf/15192,Ailanthus altissima,leaf,train,True,True,False,0.9048796892166138
bioclip,baskauf/10904,Ailanthus altissima,whole tree (or vine),all,7,baskauf/13165,Ailanthus altissima,fruit,train,True,True,False,0.8991148471832275
bioclip,baskauf/10904,Ailanthus altissima,whole tree (or vine),all,8,baskauf/10997,Ailanthus altissima,whole tree (or vine),train,True,True,False,0.8950582146644592
bioclip,baskauf/10904,Ailanthus altissima,whole tree (or vine),all,9,baskauf/15185,Ailanthus altissima,fruit,train,True,True,False,0.8791003823280334
bioclip,baskauf/10904,Ailanthus altissima,whole tree (or vine),all,10,baskauf/10999,Ailanthus altissima,inflorescence,train,True,True,False,0.8671154975891113
bioclip,baskauf/10904,Ailanthus altissima,whole tree (or vine),cross_observation,1,baskauf/11106,Ailanthus altissima,whole tree (or vine),train,True,True,False,0.9318939447402954
bioclip,baskauf/10904,Ailanthus altissima,whole tree (or vine),cross_observation,2,baskauf/13169,Ailanthus altissima,fruit,train,True,True,False,0.9280526041984558
bioclip,baskauf/10904,Ailanthus altissima,whole tree (or vine),cross_observation,3,baskauf/11107,Ailanthus altissima,leaf,train,True,True,False,0.9273112416267395
bioclip,baskauf/10904,Ailanthus altissima,whole tree (or vine),cross_observation,4,baskauf/15196,Ailanthus altissima,leaf,train,True,True,False,0.9200470447540283
bioclip,baskauf/10904,Ailanthus altissima,whole tree (or vine),cross_observation,5,baskauf/15184,Ailanthus altissima,fruit,train,True,True,False,0.9136456847190857
bioclip,baskauf/10904,Ailanthus altissima,whole tree (or vine),cross_observation,6,baskauf/15192,Ailanthus altissima,leaf,train,True,True,False,0.9048796892166138
bioclip,baskauf/10904,Ailanthus altissima,whole tree (or vine),cross_observation,7,baskauf/13165,Ailanthus altissima,fruit,train,True,True,False,0.8991148471832275
bioclip,baskauf/10904,Ailanthus altissima,whole tree (or vine),cross_observation,8,baskauf/10997,Ailanthus altissima,whole tree (or vine),train,True,True,False,0.8950582146644592
bioclip,baskauf/10904,Ailanthus altissima,whole tree (or vine),cross_observation,9,baskauf/15185,Ailanthus altissima,fruit,train,True,True,False,0.8791003823280334
bioclip,baskauf/10904,Ailanthus altissima,whole tree (or vine),cross_observation,10,baskauf/10999,Ailanthus altissima,inflorescence,train,True,True,False,0.8671154975891113
bioclip,baskauf/10938,Rhus copallinum,leaf,all,1,baskauf/10939,Rhus copallinum,leaf,test,True,True,True,0.938132107257843
bioclip,baskauf/10938,Rhus copallinum,leaf,all,2,baskauf/13534,Rhus copallinum,whole tree (or vine),train,True,True,False,0.9318901300430298
bioclip,baskauf/10938,Rhus copallinum,leaf,all,3,baskauf/15445,Rhus copallinum,fruit,validation,True,True,False,0.9249541163444519
bioclip,baskauf/10938,Rhus copallinum,leaf,all,4,baskauf/13535,Rhus copallinum,inflorescence,train,True,True,False,0.9203327298164368
bioclip,baskauf/10938,Rhus copallinum,leaf,all,5,baskauf/13537,Rhus copallinum,inflorescence,train,True,True,False,0.9152541160583496
bioclip,baskauf/10938,Rhus copallinum,leaf,all,6,baskauf/54525,Rhus copallinum,inflorescence,train,True,True,False,0.9120699167251587
bioclip,baskauf/10938,Rhus copallinum,leaf,all,7,baskauf/30096,Rhus copallinum,leaf,train,True,True,False,0.9091797471046448
bioclip,baskauf/10938,Rhus copallinum,leaf,all,8,baskauf/16724,Rhus copallinum,leaf,train,True,True,False,0.9054132699966431
bioclip,baskauf/10938,Rhus copallinum,leaf,all,9,baskauf/12580,Rhus copallinum,leaf,train,True,True,False,0.9015231728553772
bioclip,baskauf/10938,Rhus copallinum,leaf,all,10,baskauf/54517,Rhus copallinum,whole tree (or vine),train,True,True,False,0.8977866172790527
bioclip,baskauf/10938,Rhus copallinum,leaf,cross_observation,1,baskauf/13534,Rhus copallinum,whole tree (or vine),train,True,True,False,0.9318901300430298
bioclip,baskauf/10938,Rhus copallinum,leaf,cross_observation,2,baskauf/15445,Rhus copallinum,fruit,validation,True,True,False,0.9249541163444519
bioclip,baskauf/10938,Rhus copallinum,leaf,cross_observation,3,baskauf/13535,Rhus copallinum,inflorescence,train,True,True,False,0.9203327298164368
bioclip,baskauf/10938,Rhus copallinum,leaf,cross_observation,4,baskauf/13537,Rhus copallinum,inflorescence,train,True,True,False,0.9152541160583496
bioclip,baskauf/10938,Rhus copallinum,leaf,cross_observation,5,baskauf/54525,Rhus copallinum,inflorescence,train,True,True,False,0.9120699167251587
bioclip,baskauf/10938,Rhus copallinum,leaf,cross_observation,6,baskauf/30096,Rhus copallinum,leaf,train,True,True,False,0.9091797471046448
bioclip,baskauf/10938,Rhus copallinum,leaf,cross_observation,7,baskauf/16724,Rhus copallinum,leaf,train,True,True,False,0.9054132699966431
bioclip,baskauf/10938,Rhus copallinum,leaf,cross_observation,8,baskauf/12580,Rhus copallinum,leaf,train,True,True,False,0.9015231728553772
bioclip,baskauf/10938,Rhus copallinum,leaf,cross_observation,9,baskauf/54517,Rhus copallinum,whole tree (or vine),train,True,True,False,0.8977866172790527
bioclip,baskauf/10938,Rhus copallinum,leaf,cross_observation,10,baskauf/54519,Rhus copallinum,inflorescence,train,True,True,False,0.8925958275794983
bioclip,baskauf/10939,Rhus copallinum,leaf,all,1,baskauf/30096,Rhus copallinum,leaf,train,True,True,False,0.9579286575317383
bioclip,baskauf/10939,Rhus copallinum,leaf,all,2,baskauf/15445,Rhus copallinum,fruit,validation,True,True,False,0.9491970539093018
bioclip,baskauf/10939,Rhus copallinum,leaf,all,3,baskauf/13534,Rhus copallinum,whole tree (or vine),train,True,True,False,0.9411653876304626
bioclip,baskauf/10939,Rhus copallinum,leaf,all,4,baskauf/10938,Rhus copallinum,leaf,test,True,True,True,0.938132107257843
bioclip,baskauf/10939,Rhus copallinum,leaf,all,5,baskauf/54525,Rhus copallinum,inflorescence,train,True,True,False,0.9274729490280151
bioclip,baskauf/10939,Rhus copallinum,leaf,all,6,baskauf/13537,Rhus copallinum,inflorescence,train,True,True,False,0.9259293079376221
bioclip,baskauf/10939,Rhus copallinum,leaf,all,7,baskauf/16724,Rhus copallinum,leaf,train,True,True,False,0.9119943380355835
bioclip,baskauf/10939,Rhus copallinum,leaf,all,8,baskauf/13535,Rhus copallinum,inflorescence,train,True,True,False,0.9083779454231262
bioclip,baskauf/10939,Rhus copallinum,leaf,all,9,baskauf/12580,Rhus copallinum,leaf,train,True,True,False,0.9030554890632629
bioclip,baskauf/10939,Rhus copallinum,leaf,all,10,baskauf/54517,Rhus copallinum,whole tree (or vine),train,True,True,False,0.8902372121810913
bioclip,baskauf/10939,Rhus copallinum,leaf,cross_observation,1,baskauf/30096,Rhus copallinum,leaf,train,True,True,False,0.9579286575317383
bioclip,baskauf/10939,Rhus copallinum,leaf,cross_observation,2,baskauf/15445,Rhus copallinum,fruit,validation,True,True,False,0.9491970539093018
bioclip,baskauf/10939,Rhus copallinum,leaf,cross_observation,3,baskauf/13534,Rhus copallinum,whole tree (or vine),train,True,True,False,0.9411653876304626
bioclip,baskauf/10939,Rhus copallinum,leaf,cross_observation,4,baskauf/54525,Rhus copallinum,inflorescence,train,True,True,False,0.9274729490280151
bioclip,baskauf/10939,Rhus copallinum,leaf,cross_observation,5,baskauf/13537,Rhus copallinum,inflorescence,train,True,True,False,0.9259293079376221
bioclip,baskauf/10939,Rhus copallinum,leaf,cross_observation,6,baskauf/16724,Rhus copallinum,leaf,train,True,True,False,0.9119943380355835
bioclip,baskauf/10939,Rhus copallinum,leaf,cross_observation,7,baskauf/13535,Rhus copallinum,inflorescence,train,True,True,False,0.9083779454231262
bioclip,baskauf/10939,Rhus copallinum,leaf,cross_observation,8,baskauf/12580,Rhus copallinum,leaf,train,True,True,False,0.9030554890632629
bioclip,baskauf/10939,Rhus copallinum,leaf,cross_observation,9,baskauf/54517,Rhus copallinum,whole tree (or vine),train,True,True,False,0.8902372121810913
bioclip,baskauf/10939,Rhus copallinum,leaf,cross_observation,10,baskauf/54532,Rhus copallinum,inflorescence,train,True,True,False,0.8880149126052856
bioclip,baskauf/10942,Rhus copallinum,twig,all,1,baskauf/12585,Rhus copallinum,twig,train,True,True,False,0.677426815032959
bioclip,baskauf/10942,Rhus copallinum,twig,all,2,baskauf/10941,Rhus glabra,twig,train,False,True,False,0.6364691853523254
bioclip,baskauf/10942,Rhus copallinum,twig,all,3,baskauf/66163,Gleditsia triacanthos,bark,train,False,False,False,0.6188449263572693
bioclip,baskauf/10942,Rhus copallinum,twig,all,4,baskauf/29771,Rhus glabra,leaf,train,False,True,False,0.5791520476341248
bioclip,baskauf/10942,Rhus copallinum,twig,all,5,baskauf/12580,Rhus copallinum,leaf,train,True,True,False,0.5780894160270691
bioclip,baskauf/10942,Rhus copallinum,twig,all,6,baskauf/35729,Zanthoxylum americanum,twig,train,False,False,False,0.5703460574150085
bioclip,baskauf/10942,Rhus copallinum,twig,all,7,baskauf/12583,Rhus copallinum,leaf,train,True,True,False,0.5672240853309631
bioclip,baskauf/10942,Rhus copallinum,twig,all,8,baskauf/54528,Rhus copallinum,inflorescence,train,True,True,False,0.5644710659980774
bioclip,baskauf/10942,Rhus copallinum,twig,all,9,baskauf/13540,Rhus copallinum,bark,train,True,True,False,0.5618156790733337
bioclip,baskauf/10942,Rhus copallinum,twig,all,10,baskauf/10938,Rhus copallinum,leaf,test,True,True,True,0.5582625865936279
bioclip,baskauf/10942,Rhus copallinum,twig,cross_observation,1,baskauf/12585,Rhus copallinum,twig,train,True,True,False,0.677426815032959
bioclip,baskauf/10942,Rhus copallinum,twig,cross_observation,2,baskauf/10941,Rhus glabra,twig,train,False,True,False,0.6364691853523254
bioclip,baskauf/10942,Rhus copallinum,twig,cross_observation,3,baskauf/66163,Gleditsia triacanthos,bark,train,False,False,False,0.6188449263572693
bioclip,baskauf/10942,Rhus copallinum,twig,cross_observation,4,baskauf/29771,Rhus glabra,leaf,train,False,True,False,0.5791520476341248
bioclip,baskauf/10942,Rhus copallinum,twig,cross_observation,5,baskauf/12580,Rhus copallinum,leaf,train,True,True,False,0.5780894160270691
bioclip,baskauf/10942,Rhus copallinum,twig,cross_observation,6,baskauf/35729,Zanthoxylum americanum,twig,train,False,False,False,0.5703460574150085
bioclip,baskauf/10942,Rhus copallinum,twig,cross_observation,7,baskauf/12583,Rhus copallinum,leaf,train,True,True,False,0.5672240853309631
bioclip,baskauf/10942,Rhus copallinum,twig,cross_observation,8,baskauf/54528,Rhus copallinum,inflorescence,train,True,True,False,0.5644710659980774
bioclip,baskauf/10942,Rhus copallinum,twig,cross_observation,9,baskauf/13540,Rhus copallinum,bark,train,True,True,False,0.5618156790733337
bioclip,baskauf/10942,Rhus copallinum,twig,cross_observation,10,baskauf/17457,Fraxinus pennsylvanica,twig,train,False,False,False,0.5505504608154297
bioclip,baskauf/11037,Ulmus rubra,leaf,all,1,baskauf/11038,Ulmus rubra,leaf,test,True,True,True,0.9203561544418335
bioclip,baskauf/11037,Ulmus rubra,leaf,all,2,baskauf/15172,Ulmus rubra,leaf,train,True,True,False,0.8510153293609619
bioclip,baskauf/11037,Ulmus rubra,leaf,all,3,baskauf/15180,Ulmus rubra,twig,train,True,True,False,0.7774192094802856
bioclip,baskauf/11037,Ulmus rubra,leaf,all,4,baskauf/17959,Ulmus rubra,inflorescence,validation,True,True,False,0.7596074342727661
bioclip,baskauf/11037,Ulmus rubra,leaf,all,5,baskauf/15176,Ulmus rubra,leaf,train,True,True,False,0.7580176591873169
bioclip,baskauf/11037,Ulmus rubra,leaf,all,6,baskauf/19835,Ulmus rubra,fruit,train,True,True,False,0.7569773197174072
bioclip,baskauf/11037,Ulmus rubra,leaf,all,7,baskauf/11687,Ulmus americana,leaf,test,False,True,False,0.7240159511566162
bioclip,baskauf/11037,Ulmus rubra,leaf,all,8,baskauf/15227,Ulmus americana,leaf,train,False,True,False,0.7064189910888672
bioclip,baskauf/11037,Ulmus rubra,leaf,all,9,baskauf/15652,Ulmus americana,twig,train,False,True,False,0.7052783370018005
