representation,k,cluster_id,size_all,size_test,species_count,dominant_species,dominant_species_count,species_purity,species_distribution,organ_count,dominant_organ,dominant_organ_count,organ_purity,organ_distribution,bioclip_correct,bioclip_accuracy,bioclip_error_rate,dinov3_correct,dinov3_accuracy,dinov3_error_rate,gpt_5_4_correct,gpt_5_4_accuracy,gpt_5_4_error_rate,gemini_flash_lite_correct,gemini_flash_lite_accuracy,gemini_flash_lite_error_rate,bioclip_error_count,bioclip_error_enrichment,bioclip_error_p,all_four_wrong_count,all_four_wrong_rate,all_four_wrong_enrichment,all_four_wrong_p,bioclip_error_q,all_four_wrong_q,fdr_error_enriched,descriptive_error_enriched
bioclip,20,0,111,15,11,Aesculus glabra,19,0.17117117117117117,"{""Aesculus glabra"": 19, ""Tilia americana"": 19, ""Acer saccharum"": 14, ""Lonicera morrowii"": 13, ""Ulmus americana"": 11, ""Ulmus rubra"": 10, ""Zanthoxylum americanum"": 9, ""Dirca palustris"": 9, ""Celtis occidentalis"": 4, ""Acer negundo"": 2, ""Ginkgo biloba"": 1}",6,leaf,35,0.3153153153153153,"{""leaf"": 35, ""inflorescence"": 28, ""fruit"": 19, ""twig"": 14, ""whole tree (or vine)"": 13, ""bark"": 2}",14,0.9333333333333333,0.06666666666666667,4,0.26666666666666666,0.7333333333333334,4,0.26666666666666666,0.7333333333333334,6,0.4,0.6,1,0.4688888888888889,0.9081163021503956,0,0.0,0.0,1.0,1.0,1.0,False,False
bioclip,20,1,129,16,2,Quercus palustris,96,0.7441860465116279,"{""Quercus palustris"": 96, ""Quercus rubra"": 33}",6,leaf,69,0.5348837209302325,"{""leaf"": 69, ""twig"": 17, ""fruit"": 17, ""bark"": 16, ""whole tree (or vine)"": 6, ""inflorescence"": 4}",16,1.0,0.0,14,0.875,0.125,9,0.5625,0.4375,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0,1.0,1.0,1.0,False,False
bioclip,20,2,55,13,4,Sambucus racemosa,18,0.32727272727272727,"{""Sambucus racemosa"": 18, ""Sorbus americana"": 15, ""Sambucus nigra"": 11, ""Viburnum lantanoides"": 11}",5,inflorescence,20,0.36363636363636365,"{""inflorescence"": 20, ""leaf"": 14, ""fruit"": 10, ""whole tree (or vine)"": 9, ""twig"": 2}",13,1.0,0.0,7,0.5384615384615384,0.46153846153846156,5,0.38461538461538464,0.6153846153846154,6,0.46153846153846156,0.5384615384615384,0,0.0,1.0,0,0.0,0.0,1.0,1.0,1.0,False,False
bioclip,20,3,200,24,54,Ginkgo biloba,18,0.09,"{""Ginkgo biloba"": 18, ""Gymnocladus dioicus"": 16, ""Yucca filamentosa"": 12, ""Dirca palustris"": 10, ""Nyssa sylvatica"": 8, ""Zanthoxylum americanum"": 6, ""Pyrus calleryana"": 6, ""Robinia pseudoacacia"": 5, ""Pinus strobus"": 5, ""Cercis canadensis"": 4, ""Salix nigra"": 4, ""Fraxinus americana"": 4, ""Acer saccharum"": 4, ""Ailanthus altissima"": 4, ""Celtis occidentalis"": 4, ""Toxicodendron radicans"": 4, ""Cephalanthus occidentalis"": 4, ""Fraxinus pennsylvanica"": 3, ""Aesculus glabra"": 3, ""Carya cordiformis"": 3, ""Platanus occidentalis"": 3, ""Carya ovata"": 3, ""Juglans cinerea"": 3, ""Lindera benzoin"": 3, ""Quercus palustris"": 3, ""Gleditsia triacanthos"": 3, ""Cornus amomum"": 3, ""Viburnum lantanoides"": 3, ""Tilia americana"": 3, ""Betula lenta"": 3, ""Ilex verticillata"": 3, ""Rhus copallinum"": 3, ""Rhus aromatica"": 3, ""Sassafras albidum"": 3, ""Populus deltoides"": 2, ""Ulmus americana"": 2, ""Acer rubrum"": 2, ""Quercus rubra"": 2, ""Castanea dentata"": 2, ""Rhus glabra"": 2, ""Betula alleghaniensis"": 2, ""Lonicera morrowii"": 2, ""Cornus florida"": 2, ""Quercus alba"": 2, ""Quercus bicolor"": 2, ""Fagus grandifolia"": 1, ""Sorbus americana"": 1, ""Quercus muehlenbergii"": 1, ""Populus tremuloides"": 1, ""Sambucus racemosa"": 1, ""Sambucus nigra"": 1, ""Ostrya virginiana"": 1, ""Amelanchier arborea"": 1, ""Ulmus rubra"": 1}",10,twig,45,0.225,"{""twig"": 45, ""bark"": 41, ""leaf"": 37, ""inflorescence"": 36, ""fruit"": 22, ""cone"": 12, ""seed"": 4, ""stem"": 1, ""unspecified"": 1, ""whole tree (or vine)"": 1}",16,0.6666666666666666,0.3333333333333333,6,0.25,0.75,7,0.2916666666666667,0.7083333333333333,6,0.25,0.75,8,2.3444444444444446,0.009621872717841751,7,0.2916666666666667,3.6200980392156867,0.0009347754050863447,0.064145818118945,0.009347754050863447,True,True
bioclip,20,4,92,16,8,Platanus occidentalis,30,0.32608695652173914,"{""Platanus occidentalis"": 30, ""Acer negundo"": 24, ""Sassafras albidum"": 23, ""Acer rubrum"": 11, ""Rhus aromatica"": 1, ""Toxicodendron radicans"": 1, ""Quercus alba"": 1, ""Celtis occidentalis"": 1}",6,leaf,25,0.2717391304347826,"{""leaf"": 25, ""inflorescence"": 19, ""whole tree (or vine)"": 19, ""fruit"": 11, ""twig"": 11, ""bark"": 7}",16,1.0,0.0,10,0.625,0.375,6,0.375,0.625,7,0.4375,0.5625,0,0.0,1.0,0,0.0,0.0,1.0,1.0,1.0,False,False
bioclip,20,5,77,11,6,Carpinus caroliniana,38,0.4935064935064935,"{""Carpinus caroliniana"": 38, ""Ostrya virginiana"": 15, ""Betula alleghaniensis"": 11, ""Betula lenta"": 6, ""Ulmus americana"": 6, ""Carya ovata"": 1}",6,leaf,30,0.38961038961038963,"{""leaf"": 30, ""bark"": 14, ""inflorescence"": 12, ""fruit"": 11, ""twig"": 7, ""whole tree (or vine)"": 3}",10,0.9090909090909091,0.09090909090909091,6,0.5454545454545454,0.4545454545454546,2,0.18181818181818182,0.8181818181818181,4,0.36363636363636365,0.6363636363636364,1,0.6393939393939394,0.8230332909473153,0,0.0,0.0,1.0,1.0,1.0,False,False
bioclip,20,6,65,11,4,Cornus florida,24,0.36923076923076925,"{""Cornus florida"": 24, ""Cercis canadensis"": 24, ""Robinia pseudoacacia"": 13, ""Yucca filamentosa"": 4}",7,inflorescence,24,0.36923076923076925,"{""inflorescence"": 24, ""fruit"": 16, ""whole tree (or vine)"": 11, ""leaf"": 6, ""twig"": 5, ""bark"": 2, ""whole plant"": 1}",11,1.0,0.0,11,1.0,0.0,11,1.0,0.0,10,0.9090909090909091,0.09090909090909094,0,0.0,1.0,0,0.0,0.0,1.0,1.0,1.0,False,False
bioclip,20,7,91,12,7,Quercus alba,36,0.3956043956043956,"{""Quercus alba"": 36, ""Quercus bicolor"": 23, ""Quercus macrocarpa"": 13, ""Quercus muehlenbergii"": 13, ""Quercus rubra"": 4, ""Acer saccharum"": 1, ""Quercus palustris"": 1}",8,leaf,46,0.5054945054945055,"{""leaf"": 46, ""inflorescence"": 15, ""twig"": 11, ""bark"": 7, ""fruit"": 6, ""whole tree (or vine)"": 4, ""unspecified"": 1, ""seed"": 1}",11,0.9166666666666666,0.08333333333333333,7,0.5833333333333334,0.41666666666666663,6,0.5,0.5,5,0.4166666666666667,0.5833333333333333,1,0.5861111111111111,0.8495782973052179,0,0.0,0.0,1.0,1.0,1.0,False,False
bioclip,20,8,51,4,9,Fraxinus pennsylvanica,14,0.27450980392156865,"{""Fraxinus pennsylvanica"": 14, ""Fraxinus quadrangulata"": 14, ""Fraxinus americana"": 12, ""Gymnocladus dioicus"": 5, ""Zanthoxylum americanum"": 2, ""Rhus copallinum"": 1, ""Ginkgo biloba"": 1, ""Aesculus glabra"": 1, ""Carya cordiformis"": 1}",6,leaf,24,0.47058823529411764,"{""leaf"": 24, ""twig"": 9, ""inflorescence"": 6, ""fruit"": 6, ""whole tree (or vine)"": 5, ""bark"": 1}",2,0.5,0.5,2,0.5,0.5,2,0.5,0.5,1,0.25,0.75,2,3.5166666666666666,0.09778715921145455,1,0.25,3.1029411764705883,0.2871760815886532,0.4889357960572727,1.0,False,False
bioclip,20,9,90,8,6,Toxicodendron radicans,22,0.24444444444444444,"{""Toxicodendron radicans"": 22, ""Ailanthus altissima"": 21, ""Rhus copallinum"": 20, ""Rhus glabra"": 17, ""Rhus aromatica"": 9, ""Juglans nigra"": 1}",6,leaf,23,0.25555555555555554,"{""leaf"": 23, ""fruit"": 21, ""whole tree (or vine)"": 19, ""inflorescence"": 19, ""twig"": 5, ""bark"": 3}",8,1.0,0.0,3,0.375,0.625,2,0.25,0.75,2,0.25,0.75,0,0.0,1.0,0,0.0,0.0,1.0,1.0,1.0,False,False
bioclip,20,10,81,11,6,Cephalanthus occidentalis,21,0.25925925925925924,"{""Cephalanthus occidentalis"": 21, ""Nyssa sylvatica"": 16, ""Lindera benzoin"": 15, ""Ilex verticillata"": 14, ""Cornus amomum"": 13, ""Cornus florida"": 2}",6,inflorescence,27,0.3333333333333333,"{""inflorescence"": 27, ""leaf"": 20, ""twig"": 13, ""fruit"": 11, ""whole tree (or vine)"": 9, ""bark"": 1}",10,0.9090909090909091,0.09090909090909091,11,1.0,0.0,4,0.36363636363636365,0.6363636363636364,5,0.45454545454545453,0.5454545454545454,1,0.6393939393939394,0.8230332909473153,0,0.0,0.0,1.0,1.0,1.0,False,False
bioclip,20,11,121,16,26,Quercus alba,15,0.12396694214876033,"{""Quercus alba"": 15, ""Fraxinus americana"": 13, ""Quercus palustris"": 12, ""Quercus rubra"": 10, ""Ulmus americana"": 9, ""Quercus macrocarpa"": 9, ""Fraxinus pennsylvanica"": 7, ""Quercus bicolor"": 6, ""Quercus muehlenbergii"": 6, ""Celtis occidentalis"": 5, ""Juglans nigra"": 5, ""Ginkgo biloba"": 4, ""Carya cordiformis"": 3, ""Nyssa sylvatica"": 3, ""Aesculus glabra"": 2, ""Acer rubrum"": 2, ""Fagus grandifolia"": 1, ""Acer saccharum"": 1, ""Gymnocladus dioicus"": 1, ""Sassafras albidum"": 1, ""Gleditsia triacanthos"": 1, ""Pinus strobus"": 1, ""Tsuga canadensis"": 1, ""Platanus occidentalis"": 1, ""Tilia americana"": 1, ""Ostrya virginiana"": 1}",3,whole tree (or vine),100,0.8264462809917356,"{""whole tree (or vine)"": 100, ""bark"": 16, ""whole tree"": 5}",8,0.5,0.5,3,0.1875,0.8125,2,0.125,0.875,3,0.1875,0.8125,8,3.5166666666666666,0.0003896600814469248,6,0.375,4.654411764705882,0.0005386808231932091,0.0077932016289384955,0.009347754050863447,True,True
bioclip,20,12,48,5,7,Pyrus calleryana,23,0.4791666666666667,"{""Pyrus calleryana"": 23, ""Amelanchier arborea"": 18, ""Sorbus americana"": 3, ""Acer rubrum"": 1, ""Betula alleghaniensis"": 1, ""Robinia pseudoacacia"": 1, ""Salix nigra"": 1}",6,inflorescence,18,0.375,"{""inflorescence"": 18, ""leaf"": 10, ""fruit"": 8, ""twig"": 7, ""whole tree (or vine)"": 3, ""bark"": 2}",3,0.6,0.4,5,1.0,0.0,1,0.2,0.8,2,0.4,0.6,2,2.8133333333333335,0.14868526714427788,0,0.0,0.0,1.0,0.5947410685771115,1.0,False,True
bioclip,20,13,64,10,3,Gleditsia triacanthos,50,0.78125,"{""Gleditsia triacanthos"": 50, ""Robinia pseudoacacia"": 9, ""Gymnocladus dioicus"": 5}",6,twig,17,0.265625,"{""twig"": 17, ""leaf"": 15, ""inflorescence"": 13, ""bark"": 8, ""fruit"": 7, ""whole tree (or vine)"": 4}",10,1.0,0.0,9,0.9,0.09999999999999998,7,0.7,0.30000000000000004,10,1.0,0.0,0,0.0,1.0,0,0.0,0.0,1.0,1.0,1.0,False,False
bioclip,20,14,72,5,9,Juglans nigra,22,0.3055555555555556,"{""Juglans nigra"": 22, ""Juglans cinerea"": 19, ""Carya cordiformis"": 15, ""Carya ovata"": 10, ""Ailanthus altissima"": 2, ""Rhus aromatica"": 1, ""Gymnocladus dioicus"": 1, ""Castanea dentata"": 1, ""Salix nigra"": 1}",7,leaf,17,0.2361111111111111,"{""leaf"": 17, ""twig"": 17, ""fruit"": 16, ""inflorescence"": 11, ""seed"": 7, ""bark"": 3, ""whole tree (or vine)"": 1}",5,1.0,0.0,2,0.4,0.6,1,0.2,0.8,2,0.4,0.6,0,0.0,1.0,0,0.0,0.0,1.0,1.0,1.0,False,False
bioclip,20,15,29,4,3,Populus deltoides,16,0.5517241379310345,"{""Populus deltoides"": 16, ""Populus tremuloides"": 11, ""Quercus palustris"": 2}",6,whole tree (or vine),10,0.3448275862068966,"{""whole tree (or vine)"": 10, ""leaf"": 7, ""inflorescence"": 4, ""fruit"": 3, ""twig"": 3, ""bark"": 2}",4,1.0,0.0,3,0.75,0.25,3,0.75,0.25,1,0.25,0.75,0,0.0,1.0,0,0.0,0.0,1.0,1.0,1.0,False,False
bioclip,20,16,44,3,2,Fagus grandifolia,39,0.8863636363636364,"{""Fagus grandifolia"": 39, ""Castanea dentata"": 5}",6,leaf,13,0.29545454545454547,"{""leaf"": 13, ""inflorescence"": 11, ""twig"": 8, ""fruit"": 7, ""bark"": 3, ""whole tree (or vine)"": 2}",3,1.0,0.0,2,0.6666666666666666,0.33333333333333337,2,0.6666666666666666,0.33333333333333337,3,1.0,0.0,0,0.0,1.0,0,0.0,0.0,1.0,1.0,1.0,False,False
bioclip,20,17,122,14,33,Acer saccharum,12,0.09836065573770492,"{""Acer saccharum"": 12, ""Juglans cinerea"": 11, ""Ulmus americana"": 8, ""Acer rubrum"": 8, ""Juglans nigra"": 7, ""Robinia pseudoacacia"": 7, ""Fagus grandifolia"": 5, ""Cornus florida"": 5, ""Gymnocladus dioicus"": 5, ""Acer negundo"": 4, ""Fraxinus pennsylvanica"": 4, ""Quercus rubra"": 4, ""Ulmus rubra"": 4, ""Nyssa sylvatica"": 4, ""Castanea dentata"": 3, ""Sassafras albidum"": 3, ""Betula lenta"": 3, ""Celtis occidentalis"": 3, ""Carpinus caroliniana"": 3, ""Fraxinus americana"": 3, ""Carya cordiformis"": 3, ""Ginkgo biloba"": 2, ""Ostrya virginiana"": 1, ""Carya ovata"": 1, ""Gleditsia triacanthos"": 1, ""Tsuga canadensis"": 1, ""Prunus serotina"": 1, ""Populus deltoides"": 1, ""Salix nigra"": 1, ""Ailanthus altissima"": 1, ""Tilia americana"": 1, ""Cercis canadensis"": 1, ""Fraxinus quadrangulata"": 1}",7,whole tree (or vine),75,0.6147540983606558,"{""whole tree (or vine)"": 75, ""bark"": 28, ""inflorescence"": 6, ""fruit"": 5, ""leaf"": 5, ""whole tree"": 2, ""twig"": 1}",8,0.5714285714285714,0.42857142857142855,4,0.2857142857142857,0.7142857142857143,2,0.14285714285714285,0.8571428571428572,3,0.21428571428571427,0.7857142857142857,6,3.0142857142857142,0.006671054179326627,3,0.21428571428571427,2.6596638655462184,0.09071137172894005,0.064145818118945,0.6047424781929337,True,True
bioclip,20,18,54,7,5,Juniperus virginiana,16,0.2962962962962963,"{""Juniperus virginiana"": 16, ""Pinus strobus"": 16, ""Tsuga canadensis"": 13, ""Picea rubens"": 8, ""Ginkgo biloba"": 1}",6,cone,21,0.3888888888888889,"{""cone"": 21, ""whole tree"": 11, ""bark"": 9, ""leaf"": 7, ""twig"": 4, ""whole tree (or vine)"": 2}",7,1.0,0.0,6,0.8571428571428571,0.1428571428571429,3,0.42857142857142855,0.5714285714285714,6,0.8571428571428571,0.1428571428571429,0,0.0,1.0,0,0.0,0.0,1.0,1.0,1.0,False,False
