representation,k,cluster_id,size_all,size_test,species_count,dominant_species,dominant_species_count,species_purity,species_distribution,organ_count,dominant_organ,dominant_organ_count,organ_purity,organ_distribution,bioclip_correct,bioclip_accuracy,bioclip_error_rate,dinov3_correct,dinov3_accuracy,dinov3_error_rate,gpt_5_4_correct,gpt_5_4_accuracy,gpt_5_4_error_rate,gemini_flash_lite_correct,gemini_flash_lite_accuracy,gemini_flash_lite_error_rate,efficientnet_b0_correct,efficientnet_b0_accuracy,efficientnet_b0_error_rate
efficientnet_b0,20,10,65,10,29,Carpinus caroliniana,7,0.1076923076923077,"{""Carpinus caroliniana"": 7, ""Acer negundo"": 5, ""Pyrus calleryana"": 5, ""Aesculus glabra"": 4, ""Ulmus americana"": 3, ""Tilia americana"": 3, ""Zanthoxylum americanum"": 3, ""Ulmus rubra"": 3, ""Betula alleghaniensis"": 3, ""Lindera benzoin"": 2, ""Betula lenta"": 2, ""Viburnum lantanoides"": 2, ""Rhus glabra"": 2, ""Cornus florida"": 2, ""Fagus grandifolia"": 2, ""Ostrya virginiana"": 2, ""Carya cordiformis"": 2, ""Cephalanthus occidentalis"": 2, ""Celtis occidentalis"": 1, ""Ilex verticillata"": 1, ""Salix nigra"": 1, ""Lonicera morrowii"": 1, ""Prunus serotina"": 1, ""Amelanchier arborea"": 1, ""Sambucus racemosa"": 1, ""Rhus aromatica"": 1, ""Nyssa sylvatica"": 1, ""Cornus amomum"": 1, ""Castanea dentata"": 1}",1,leaf,65,1.0,"{""leaf"": 65}",10,1.0,0.0,7,0.7,0.30000000000000004,1,0.1,0.9,4,0.4,0.6,0,0.0,1.0
efficientnet_b0,20,11,70,9,24,Quercus palustris,15,0.21428571428571427,"{""Quercus palustris"": 15, ""Fagus grandifolia"": 8, ""Quercus rubra"": 7, ""Quercus bicolor"": 7, ""Quercus alba"": 5, ""Populus deltoides"": 2, ""Platanus occidentalis"": 2, ""Fraxinus americana"": 2, ""Sassafras albidum"": 2, ""Lindera benzoin"": 2, ""Acer rubrum"": 2, ""Quercus macrocarpa"": 2, ""Toxicodendron radicans"": 2, ""Tilia americana"": 2, ""Quercus muehlenbergii"": 1, ""Acer saccharum"": 1, ""Juglans nigra"": 1, ""Robinia pseudoacacia"": 1, ""Nyssa sylvatica"": 1, ""Fraxinus pennsylvanica"": 1, ""Prunus serotina"": 1, ""Rhus copallinum"": 1, ""Ailanthus altissima"": 1, ""Dirca palustris"": 1}",3,leaf,68,0.9714285714285714,"{""leaf"": 68, ""twig"": 1, ""inflorescence"": 1}",9,1.0,0.0,9,1.0,0.0,6,0.6666666666666666,0.33333333333333337,3,0.3333333333333333,0.6666666666666667,3,0.3333333333333333,0.6666666666666667
efficientnet_b0,20,12,66,13,27,Cornus florida,9,0.13636363636363635,"{""Cornus florida"": 9, ""Pyrus calleryana"": 7, ""Amelanchier arborea"": 4, ""Nyssa sylvatica"": 3, ""Zanthoxylum americanum"": 3, ""Juglans nigra"": 3, ""Ginkgo biloba"": 3, ""Rhus aromatica"": 3, ""Prunus serotina"": 3, ""Sambucus racemosa"": 3, ""Ilex verticillata"": 3, ""Cornus amomum"": 2, ""Viburnum lantanoides"": 2, ""Quercus alba"": 2, ""Lonicera morrowii"": 2, ""Lindera benzoin"": 2, ""Rhus glabra"": 2, ""Dirca palustris"": 1, ""Tilia americana"": 1, ""Sorbus americana"": 1, ""Acer saccharum"": 1, ""Quercus rubra"": 1, ""Platanus occidentalis"": 1, ""Sassafras albidum"": 1, ""Juniperus virginiana"": 1, ""Sambucus nigra"": 1, ""Celtis occidentalis"": 1}",6,fruit,55,0.8333333333333334,"{""fruit"": 55, ""twig"": 5, ""cone"": 3, ""unspecified"": 1, ""leaf"": 1, ""inflorescence"": 1}",13,1.0,0.0,8,0.6153846153846154,0.3846153846153846,10,0.7692307692307693,0.23076923076923073,6,0.46153846153846156,0.5384615384615384,3,0.23076923076923078,0.7692307692307692
efficientnet_b0,20,13,73,6,33,Platanus occidentalis,8,0.1095890410958904,"{""Platanus occidentalis"": 8, ""Acer saccharum"": 7, ""Acer rubrum"": 7, ""Ulmus americana"": 5, ""Cercis canadensis"": 4, ""Fagus grandifolia"": 3, ""Populus tremuloides"": 3, ""Juniperus virginiana"": 3, ""Acer negundo"": 2, ""Pyrus calleryana"": 2, ""Robinia pseudoacacia"": 2, ""Sorbus americana"": 2, ""Nyssa sylvatica"": 2, ""Populus deltoides"": 2, ""Rhus copallinum"": 2, ""Sassafras albidum"": 2, ""Pinus strobus"": 1, ""Ailanthus altissima"": 1, ""Tilia americana"": 1, ""Celtis occidentalis"": 1, ""Amelanchier arborea"": 1, ""Quercus alba"": 1, ""Juglans cinerea"": 1, ""Carya cordiformis"": 1, ""Quercus rubra"": 1, ""Gleditsia triacanthos"": 1, ""Cornus amomum"": 1, ""Sambucus racemosa"": 1, ""Carpinus caroliniana"": 1, ""Ilex verticillata"": 1, ""Rhus glabra"": 1, ""Rhus aromatica"": 1, ""Ulmus rubra"": 1}",8,whole tree (or vine),45,0.6164383561643836,"{""whole tree (or vine)"": 45, ""inflorescence"": 11, ""fruit"": 8, ""leaf"": 4, ""whole tree"": 2, ""bark"": 1, ""cone"": 1, ""twig"": 1}",5,0.8333333333333334,0.16666666666666663,4,0.6666666666666666,0.33333333333333337,4,0.6666666666666666,0.33333333333333337,4,0.6666666666666666,0.33333333333333337,1,0.16666666666666666,0.8333333333333334
efficientnet_b0,20,14,114,16,42,Fraxinus americana,9,0.07894736842105263,"{""Fraxinus americana"": 9, ""Quercus rubra"": 8, ""Quercus alba"": 7, ""Ulmus americana"": 6, ""Gleditsia triacanthos"": 5, ""Platanus occidentalis"": 5, ""Acer negundo"": 5, ""Fagus grandifolia"": 4, ""Quercus macrocarpa"": 4, ""Quercus palustris"": 4, ""Ginkgo biloba"": 4, ""Juglans nigra"": 3, ""Juniperus virginiana"": 3, ""Lonicera morrowii"": 3, ""Tsuga canadensis"": 3, ""Fraxinus pennsylvanica"": 3, ""Carya cordiformis"": 2, ""Celtis occidentalis"": 2, ""Ailanthus altissima"": 2, ""Salix nigra"": 2, ""Populus deltoides"": 2, ""Pinus strobus"": 2, ""Betula lenta"": 2, ""Ulmus rubra"": 2, ""Acer rubrum"": 2, ""Cornus florida"": 2, ""Nyssa sylvatica"": 2, ""Gymnocladus dioicus"": 2, ""Cornus amomum"": 1, ""Sorbus americana"": 1, ""Acer saccharum"": 1, ""Tilia americana"": 1, ""Cercis canadensis"": 1, ""Prunus serotina"": 1, ""Juglans cinerea"": 1, ""Ilex verticillata"": 1, ""Robinia pseudoacacia"": 1, ""Carpinus caroliniana"": 1, ""Picea rubens"": 1, ""Quercus muehlenbergii"": 1, ""Aesculus glabra"": 1, ""Sambucus nigra"": 1}",5,whole tree (or vine),98,0.8596491228070176,"{""whole tree (or vine)"": 98, ""whole tree"": 12, ""leaf"": 2, ""cone"": 1, ""fruit"": 1}",12,0.75,0.25,7,0.4375,0.5625,7,0.4375,0.5625,8,0.5,0.5,0,0.0,1.0
efficientnet_b0,20,15,122,15,51,Gleditsia triacanthos,10,0.08196721311475409,"{""Gleditsia triacanthos"": 10, ""Quercus palustris"": 9, ""Quercus rubra"": 6, ""Ulmus americana"": 5, ""Dirca palustris"": 5, ""Carpinus caroliniana"": 5, ""Fagus grandifolia"": 5, ""Fraxinus pennsylvanica"": 4, ""Acer rubrum"": 4, ""Quercus alba"": 4, ""Zanthoxylum americanum"": 4, ""Robinia pseudoacacia"": 4, ""Tilia americana"": 3, ""Fraxinus quadrangulata"": 3, ""Gymnocladus dioicus"": 3, ""Ostrya virginiana"": 3, ""Cephalanthus occidentalis"": 3, ""Populus tremuloides"": 3, ""Cercis canadensis"": 2, ""Carya cordiformis"": 2, ""Rhus glabra"": 2, ""Ilex verticillata"": 2, ""Salix nigra"": 2, ""Juglans nigra"": 2, ""Picea rubens"": 1, ""Sassafras albidum"": 1, ""Tsuga canadensis"": 1, ""Populus deltoides"": 1, ""Platanus occidentalis"": 1, ""Sorbus americana"": 1, ""Fraxinus americana"": 1, ""Pinus strobus"": 1, ""Acer negundo"": 1, ""Lindera benzoin"": 1, ""Carya ovata"": 1, ""Acer saccharum"": 1, ""Rhus copallinum"": 1, ""Betula alleghaniensis"": 1, ""Betula lenta"": 1, ""Lonicera morrowii"": 1, ""Sambucus nigra"": 1, ""Cornus florida"": 1, ""Nyssa sylvatica"": 1, ""Juniperus virginiana"": 1, ""Castanea dentata"": 1, ""Quercus bicolor"": 1, ""Quercus macrocarpa"": 1, ""Quercus muehlenbergii"": 1, ""Ginkgo biloba"": 1, ""Aesculus glabra"": 1, ""Ulmus rubra"": 1}",6,twig,93,0.7622950819672131,"{""twig"": 93, ""fruit"": 10, ""inflorescence"": 10, ""leaf"": 6, ""bark"": 2, ""whole tree (or vine)"": 1}",15,1.0,0.0,8,0.5333333333333333,0.4666666666666667,5,0.3333333333333333,0.6666666666666667,5,0.3333333333333333,0.6666666666666667,3,0.2,0.8
efficientnet_b0,20,16,75,6,47,Pyrus calleryana,7,0.09333333333333334,"{""Pyrus calleryana"": 7, ""Quercus bicolor"": 4, ""Quercus muehlenbergii"": 3, ""Quercus macrocarpa"": 3, ""Betula alleghaniensis"": 3, ""Cephalanthus occidentalis"": 2, ""Juglans nigra"": 2, ""Carya ovata"": 2, ""Quercus rubra"": 2, ""Quercus alba"": 2, ""Gleditsia triacanthos"": 2, ""Quercus palustris"": 2, ""Ilex verticillata"": 2, ""Dirca palustris"": 2, ""Acer saccharum"": 2, ""Ulmus americana"": 2, ""Ailanthus altissima"": 2, ""Tilia americana"": 2, ""Fraxinus pennsylvanica"": 1, ""Celtis occidentalis"": 1, ""Fraxinus quadrangulata"": 1, ""Zanthoxylum americanum"": 1, ""Populus deltoides"": 1, ""Platanus occidentalis"": 1, ""Amelanchier arborea"": 1, ""Populus tremuloides"": 1, ""Prunus serotina"": 1, ""Sassafras albidum"": 1, ""Fraxinus americana"": 1, ""Acer negundo"": 1, ""Lindera benzoin"": 1, ""Ostrya virginiana"": 1, ""Rhus aromatica"": 1, ""Rhus copallinum"": 1, ""Rhus glabra"": 1, ""Toxicodendron radicans"": 1, ""Betula lenta"": 1, ""Carpinus caroliniana"": 1, ""Sambucus racemosa"": 1, ""Carya cordiformis"": 1, ""Viburnum lantanoides"": 1, ""Cornus amomum"": 1, ""Cercis canadensis"": 1, ""Gymnocladus dioicus"": 1, ""Fagus grandifolia"": 1, ""Acer rubrum"": 1, ""Ulmus rubra"": 1}",2,leaf,74,0.9866666666666667,"{""leaf"": 74, ""twig"": 1}",3,0.5,0.5,3,0.5,0.5,1,0.16666666666666666,0.8333333333333334,1,0.16666666666666666,0.8333333333333334,3,0.5,0.5
efficientnet_b0,20,17,56,7,6,Quercus palustris,30,0.5357142857142857,"{""Quercus palustris"": 30, ""Quercus rubra"": 10, ""Quercus alba"": 9, ""Quercus bicolor"": 5, ""Quercus macrocarpa"": 1, ""Platanus occidentalis"": 1}",1,leaf,56,1.0,"{""leaf"": 56}",7,1.0,0.0,6,0.8571428571428571,0.1428571428571429,7,1.0,0.0,1,0.14285714285714285,0.8571428571428572,6,0.8571428571428571,0.1428571428571429
efficientnet_b0,20,18,67,9,38,Carpinus caroliniana,5,0.07462686567164178,"{""Carpinus caroliniana"": 5, ""Dirca palustris"": 4, ""Fagus grandifolia"": 4, ""Gleditsia triacanthos"": 4, ""Acer negundo"": 3, ""Betula lenta"": 3, ""Prunus serotina"": 3, ""Fraxinus americana"": 3, ""Robinia pseudoacacia"": 3, ""Betula alleghaniensis"": 3, ""Salix nigra"": 2, ""Gymnocladus dioicus"": 2, ""Amelanchier arborea"": 2, ""Platanus occidentalis"": 2, ""Rhus glabra"": 1, ""Rhus aromatica"": 1, ""Populus tremuloides"": 1, ""Zanthoxylum americanum"": 1, ""Cephalanthus occidentalis"": 1, ""Sorbus americana"": 1, ""Pyrus calleryana"": 1, ""Rhus copallinum"": 1, ""Pinus strobus"": 1, ""Fraxinus pennsylvanica"": 1, ""Lindera benzoin"": 1, ""Ostrya virginiana"": 1, ""Juglans cinerea"": 1, ""Carya cordiformis"": 1, ""Toxicodendron radicans"": 1, ""Acer rubrum"": 1, ""Ilex verticillata"": 1, ""Nyssa sylvatica"": 1, ""Cornus florida"": 1, ""Cornus amomum"": 1, ""Viburnum lantanoides"": 1, ""Sambucus nigra"": 1, ""Lonicera morrowii"": 1, ""Celtis occidentalis"": 1}",3,bark,61,0.9104477611940298,"{""bark"": 61, ""twig"": 4, ""leaf"": 2}",6,0.6666666666666666,0.33333333333333337,2,0.2222222222222222,0.7777777777777778,4,0.4444444444444444,0.5555555555555556,4,0.4444444444444444,0.5555555555555556,1,0.1111111111111111,0.8888888888888888
efficientnet_b0,20,19,23,4,5,Quercus palustris,18,0.782608695652174,"{""Quercus palustris"": 18, ""Pyrus calleryana"": 2, ""Nyssa sylvatica"": 1, ""Quercus bicolor"": 1, ""Quercus muehlenbergii"": 1}",1,fruit,23,1.0,"{""fruit"": 23}",4,1.0,0.0,4,1.0,0.0,1,0.25,0.75,0,0.0,1.0,4,1.0,0.0
